,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,01/11,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'SWPBCK: LMS', 'SWEEPBACK CR MEMO']",24497.56,Credit,97281.56,False,False
1,01/11,"['ODS Sweep Trf CR', '2403014542', '2403014542', 'POSINT: LMS RBK CR INT', 'TRF CR MEMO']",0.14,Credit,97281.7,False,False
2,01/11,"['IBG Debit', 'OFFICE USED', 'PETTY CASH', 'POWERLITE']",2500.0,Debit,94781.7,False,False
3,01/11,"['DuitNow/Instant Trf', 'Fund transfer', 'PAYMENT JULY 2019', 'HLB LEOW WEI MING', 'HLB LEOW WEI', 'MING PAYMENT JULY', '2019']",790.0,Credit,95571.7,False,False
4,01/11,"['IBG Debit', 'SUPPLIER', ""PYM-SEP'2019"", 'POWERLITE']",2600.0,Debit,92971.7,False,False
5,01/11,"['IBG Debit', 'YOON HING', ""PYM-SEP'2019"", 'POWERLITE']",800.0,Debit,92171.7,False,False
6,01/11,"['IBG Debit', 'FLEXIBLE', ""PYM-SEP'2019"", 'POWERLITE']",90.0,Debit,92081.7,False,False
7,01/11,"['IBG Debit', 'PURCHASES', ""PYM-AUG'2019"", 'POWERLITE']",1300.0,Debit,90781.7,False,False
8,01/11,"['IBG Debit', 'ZW AUTO', ""PYM-JUL'2019"", 'POWERLITE']",645.0,Debit,90136.7,False,False
9,01/11,"['IBG Debit', 'VINWAY AUTO', ""PYM-JUL'2019"", 'POWERLITE']",360.0,Debit,89776.7,False,False
10,01/11,"['IBG Debit', 'V GLOBAL', ""PYM-JUL'2019"", 'POWERLITE']",313.5,Debit,89463.2,False,False
11,01/11,"['IBG Debit', 'UILFU AUTO', ""PYM-JUL'2019"", 'POWERLITE']",2376.0,Debit,87087.2,False,False
12,01/11,"['IBG Debit', 'SHY AUTO', ""PYM-JUL'2019"", 'POWERLITE']",220.0,Debit,86867.2,False,False
13,01/11,"['IBG Debit', 'SWEE ENG HUP', ""PYM-JUL'2019"", 'POWERLITE']",520.0,Debit,86347.2,False,False
14,01/11,"['IBG Debit', 'PSS', ""PYM-JUL'2019"", 'POWERLITE']",1365.0,Debit,84982.2,False,False
15,01/11,"['IBG Debit', 'SUPPLIER', ""PYM-JUL'2019"", 'POWERLITE']",490.0,Debit,84492.2,False,False
16,01/11,"['IBG Debit', 'LMS AUTO', ""PYM-JUL'2019"", 'POWERLITE']",600.0,Debit,83892.2,False,False
17,01/11,"['IBG Debit', 'KHA ENT', ""PYM-JUL'2019"", 'POWERLITE']",350.0,Debit,83542.2,False,False
18,01/11,"['IBG Debit', 'JB AUTO', ""PYM-JUL'2019"", 'POWERLITE']",1112.0,Debit,82430.2,False,False
19,01/11,"['IBG Debit', 'GAO NENG', ""PYM-JUL'2019"", 'POWERLITE']",1435.0,Debit,80995.2,False,False
20,01/11,"['IBG Debit', 'FOONG DING', ""PYM-JUL'2019"", 'POWERLITE']",1680.0,Debit,79315.2,False,False
21,01/11,"['IBG Debit', 'EOK AUTO', ""PYM-JUL'2019"", 'POWERLITE']",560.0,Debit,78755.2,False,False
22,01/11,"['IBG Debit', 'SUPPLIER', ""PYM-JUL'2019"", 'POWERLITE']",3180.0,Debit,75575.2,False,False
23,01/11,"['IBG Debit', 'EH AUTO', ""PYM-JUL'2019"", 'POWERLITE']",1897.0,Debit,73678.2,False,False
24,01/11,"['Fund Trf EB', 'ABADI', ""PYM-JUL'2019"", 'POWERLITE']",1300.0,Debit,72378.2,False,False
25,01/11,"['IBG Debit', 'TNE AUTO', ""PYM-JUL'2019"", 'POWERLITE']",8670.0,Debit,63708.2,False,False
26,01/11,"['IBG Debit', 'TENSO', ""PYM-JUL'2019"", 'POWERLITE']",9560.0,Debit,54148.2,False,False
27,01/11,"['IBG Debit', 'PURCHASES', ""PYM-JUL'2019"", 'POWERLITE']",1220.0,Debit,52928.2,False,False
28,01/11,"['IBG Debit', 'HUP YIP', ""PYM-JUL'2019"", 'POWERLITE']",4829.0,Debit,48099.2,False,False
29,01/11,"['IBG Debit', 'EVERGROWN', ""PYM-JUL'2019"", 'POWERLITE']",10120.0,Debit,37979.2,False,False
30,01/11,"['Cheque Deposit', 'PBB 408164']",2925.0,Credit,40904.2,False,False
31,02/11,"['DuitNow/Instant Trf', 'INSTANT TRANSFER', 'PAYMENT OF JULY', 'PBB ZW AUTO PARTS', 'SDN BHD']",1760.0,Credit,42664.2,False,False
