,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Balance'],,,59489.08,False,False
1,,['Ledger Balance'],,,345461.26,False,False
2,01/09,"['DEPOSIT', 'DEP 39302789,WOODLANDS BR2', ',RQ2499']",85.0,Credit,59574.08,False,False
3,01/09,"['TRANSFER OF FUND', 'TRF NG PUAY CHENG VIVIEN I-BANK', '015-1-022941 JACE YEO']",160.0,Credit,59734.08,False,False
4,02/09,"['REMITTANCE TRANSFER OF FUNDS', 'RTF 0016RF6399145 FOCUS', 'MOVEMENT PTE.', 'FOCUS MOVEMENT PTE. LTD.', 'SGD 2247']",2247.0,Credit,61981.08,False,False
5,02/09,"['TRANSFER OF FUND', 'TRF TAN LEE THONG I-BANK 023-', '009645-5 MEGAN TAN']",105.0,Credit,62086.08,False,False
6,02/09,"['Inward PayNow', 'BAHAR ALI BIN SAKOR', 'IMB1373605544300000000C155730389', '737', 'OTHER', 'BAHAR ALI BIN SAKOR', 'SGD 2128']",2128.0,Credit,64214.08,False,False
7,02/09,"['Inward PayNow', 'Tong Siew En', 'IMB1373831707400000000C423609568', '422', 'OTHER', 'LEM SOW FEN', 'SGD 105']",105.0,Credit,64319.08,False,False
8,02/09,"['CHEQUE', '0301610']",358.45,Debit,63960.63,False,False
9,02/09,"['CHEQUE', '0301623']",358.45,Debit,63602.18,False,False
10,02/09,"['CHEQUE', '0301625']",358.45,Debit,63243.73,False,False
11,03/09,"['REMITTANCE TRANSFER OF FUNDS', 'RTF 0016RF6422853 0016RF6422853', 'GSA PRIVATE LIMITED', 'USD 11000 at SGD1.39515']",15346.65,Debit,47897.08,False,False
12,03/09,"['INTERBANK GIRO', 'LAZADA SINGAPORE PTE LTD', 'SG0118000079476', 'OTHER']",399.16,Credit,48296.24,False,False
13,03/09,"['INTERBANK GIRO', 'HP FINANCIAL SERVICES', '4400000148467', 'SUPPLIER PAYMENT']",41970.75,Credit,90266.99,False,False
14,03/09,"['INTERBANK GIRO', 'STRIPE PAYMENTS SING STRIPE', 'SwT7vALsP', 'CASH DISBURSEMENT']",438.66,Credit,90705.65,False,False
15,03/09,"['GIRO', 'ACCOUNTANT-GENERAL 5003597762', 'INVOICE PAYMENT']",50782.2,Credit,141487.85,False,False
16,03/09,"['CHEQUE', '0301632']",120.0,Debit,141367.85,False,False
17,04/09,"['INTERBANK GIRO', 'STRIPE PAYMENTS SING STRIPE', '1PBKuL1Uu', 'CASH DISBURSEMENT']",488.26,Credit,141856.11,False,False
18,06/09,"['INTERBANK GIRO', 'STRIPE PAYMENTS SING STRIPE', 'ej6CtcT06', 'CASH DISBURSEMENT']",488.68,Credit,142344.79,False,False
19,09/09,"['FAST PAYMENT', 'Maxhub Deliveries', 'EBGPP90905107702000000C13001068', '8032 M:+6590141789', 'BUSINESS EXPENSES', 'SGD 710']",710.0,Debit,141634.79,False,False
