,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Balance'],,,70806.08,False,False
1,,['Ledger Balance'],,,81467.02,False,False
2,03/02,"['QUICK CHEQUE DEPOSIT', 'QCDM']",3278.48,Credit,74084.56,False,False
3,03/02,"['QUICK CHEQUE DEPOSIT', 'QCDM']",10700.0,Credit,84784.56,False,False
4,04/02,"['BUSINESS ADVANCE CARD', 'TRANSACTION', 'BAT GOOGLE*GSUITE WEAREBEK SI', 'NG 01FEB 4096-3620-1206-2510', 'USD128.40']",179.55,Debit,84605.01,False,False
5,04/02,"['BUSINESS ADVANCE CARD', 'TRANSACTION', 'BAT SPH-SUBS', 'SI NG 01FEB', '4096-3620-1206-2510']",29.9,Debit,84575.11,False,False
6,05/02,"['FAST PAYMENT', 'EdmundPhoto.com 0247', 'EBGPP00205956659', 'OCBC:512759176001:IDEAL', 'BUSINESS EXPENSES', 'SGD 1800']",1800.0,Debit,82775.11,False,False
7,05/02,"['SERVICE CHARGE FOR FAST', 'PAYMENT', 'EdmundPhoto.com 0247', 'EBGPP00205956659', '512759176001:IDEAL', 'BUSINESS EXPENSES', 'SGD 1800']",0.5,Debit,82774.61,False,False
8,06/02,"['BUSINESS ADVANCE CARD', 'TRANSACTION', 'BAT QUICKBOOKS ONLINE', 'LO ND', '03FEB 4096-3620-1206-2510']",30.3,Debit,82744.31,False,False
9,06/02,"['QUICK CHEQUE DEPOSIT', 'QCDM']",21628.98,Credit,104373.29,False,False
10,10/02,"['REMITTANCE TRANSFER OF FUNDS', 'RTF 0016RF8871045 TRANSFERWISE', 'SINGAPO', 'TRANSFERWISE SINGAPORE PTE.', 'LTD.', 'SGD 6866.19']",6866.19,Credit,111239.48,False,False
11,13/02,"['BUSINESS ADVANCE CARD', 'TRANSACTION', 'BAT FAR EAST FLORA.COM PTE SI', 'NG 11FEB 4096-3620-1206-2510']",103.68,Debit,111135.8,False,False
12,14/02,"['FAST PAYMENT', 'Regus 4316 5477 EBGPP00204947903', 'HSBC:152001509002:IDEAL', 'BUSINESS EXPENSES', 'SGD 1871.75']",1871.75,Debit,109264.05,False,False
13,14/02,"['SERVICE CHARGE FOR FAST', 'PAYMENT', 'Regus 4316 5477 EBGPP00204947903', '152001509002:IDEAL', 'BUSINESS EXPENSES', 'SGD 1871.75']",0.5,Debit,109263.55,False,False
14,14/02,"['FAST PAYMENT', 'Yeo Yao Xiong 100', 'EBGPP00214004647', 'UOB:3721039976:IDEAL', 'BUSINESS EXPENSES', 'SGD 240']",240.0,Debit,109023.55,False,False
15,14/02,"['FAST PAYMENT', 'Edmund Chew CS2020-01-009', 'EBGPP00214004641000000C10000000', '0000 M:+6597123520', 'BUSINESS EXPENSES', 'SGD 607.5']",607.5,Debit,108416.05,False,False
16,14/02,"['SERVICE CHARGE FOR PAYNOW', 'PAYMENTS', 'Edmund Chew CS2020-01-009', 'EBGPP00214004641000000C10000000', '0000 M:+6597123520:IDEAL', 'BUSINESS EXPENSES', 'SGD 607.5']",0.5,Debit,108415.55,False,False
17,14/02,"['SERVICE CHARGE FOR FAST', 'PAYMENT', 'Yeo Yao Xiong 100', 'EBGPP00214004647', '3721039976:IDEAL', 'BUSINESS EXPENSES', 'SGD 240']",0.5,Debit,108415.05,False,False
18,15/02,"['BUSINESS ADVANCE CARD', 'TRANSACTION', 'BAT PLOT STORYBOARDS', '41 55', '13FEB 4096-3620-1206-2510 USD10.00']",14.35,Debit,108400.7,False,False
19,18/02,"['FAST PAYMENT', 'Wayne Claims EBGPP00218022110', 'OCBC:628440851001:IDEAL', 'BUSINESS EXPENSES', 'SGD 100']",100.0,Debit,108300.7,False,False
20,18/02,"['SERVICE CHARGE FOR FAST', 'PAYMENT', 'Wayne Claims EBGPP00218022110', '628440851001:IDEAL', 'BUSINESS EXPENSES', 'SGD 100']",0.5,Debit,108300.2,False,False
21,18/02,"['REMITTANCE TRANSFER OF FUNDS', 'RTF SeongCheng Claim', '0016RF8997578', 'WONG SEONG CHENG', 'SGD 192.25']",192.25,Debit,108107.95,False,False
22,18/02,"['REMITTANCE TRANSFER OF FUNDS', 'RTF YinXue Claims 0016RF8997580', 'TAY YINXUE', 'SGD 61.19']",61.19,Debit,108046.76,False,False
23,18/02,"['REMITTANCE TRANSFER OF FUNDS', 'RTF Adrian Claims 0016RF8997579', 'LIEW CHONG BOON', 'SGD 10.01']",10.01,Debit,108036.75,False,False
24,19/02,"['INTERBANK GIRO', 'CPF BIZ', '201620992H']",6430.5,Debit,101606.25,False,False
25,20/02,"['ADVICE', 'FAST REBATE 0390FR20029253']",10.5,Credit,101616.75,False,False
26,20/02,"['FAST PAYMENT', 'REDBOT RBP 389A', 'EBGPP00220042438', 'OCBC:517619029001:IDEAL', 'BUSINESS EXPENSES', 'SGD 2000']",2000.0,Debit,99616.75,False,False
27,20/02,"['SERVICE CHARGE FOR FAST', 'PAYMENT', 'REDBOT RBP 389A', 'EBGPP00220042438', '517619029001:IDEAL', 'BUSINESS EXPENSES', 'SGD 2000']",0.5,Debit,99616.25,False,False
28,26/02,"['BUSINESS ADVANCE CARD', 'TRANSACTION', 'BAT VODIEN SG', '69 14 24FEB', '4096-3620-1206-2510']",105.0,Credit,99721.25,False,False
29,26/02,"['BUSINESS ADVANCE CARD', 'TRANSACTION', 'BAT VODIEN SG', '69 14 24FEB', '4096-3620-1206-2510']",200.0,Credit,99921.25,False,False
30,26/02,"['BUSINESS ADVANCE CARD', 'TRANSACTION', 'BAT VODIEN SG', '69 14 23FEB', '4096-3620-1206-2510']",105.0,Debit,99816.25,False,False
31,26/02,"['BUSINESS ADVANCE CARD', 'TRANSACTION', 'BAT VODIEN SG', '69 14 23FEB', '4096-3620-1206-2510']",200.0,Debit,99616.25,False,False
32,26/02,"['FAST PAYMENT', 'THS-005n GPL-INV 5384', 'EBGPP00226071891', 'OCBC:628196453001:IDEAL', 'BUSINESS EXPENSES', 'SGD 1316']",1316.0,Debit,98300.25,False,False
33,26/02,"['SERVICE CHARGE FOR FAST', 'PAYMENT', 'THS-005n GPL-INV 5384', 'EBGPP00226071891', '628196453001:IDEAL', 'BUSINESS EXPENSES', 'SGD 1316']",0.5,Debit,98299.75,False,False
34,27/02,"['BUSINESS ADVANCE CARD', 'TRANSACTION', 'BAT HOT TOMATO @BEDOK', 'SI NG', '25FEB 4096-3620-1206-2510']",50.15,Debit,98249.6,False,False
35,27/02,"['GIRO PAYROLL', '27/02/2020 90000 EBLVT00226787547']",23129.0,Debit,75120.6,False,False
36,28/02,"['BUSINESS ADVANCE CARD', 'TRANSACTION', 'BAT GOOGLE ADS4802438007 SI NG', '26FEB 4096-3620-1206-2510']",518.77,Debit,74601.83,False,False
37,28/02,"['REMITTANCE TRANSFER OF FUNDS', 'RTF 0016RF9177380 TRANSFERWISE', 'SINGAPO', 'TRANSFERWISE SINGAPORE PTE.', 'LTD.', 'SGD 6866.19']",6866.19,Credit,81468.02,False,False
38,28/02,"['SERVICE CHARGE FOR PROCESSING', 'OF IDEAL TRANSACTIONS', 'SCIDEAL']",1.0,Debit,81467.02,False,False
39,,['Total Debit Amount'],,,38994.4,False,False
40,,['Total Credit Amount'],,,49655.34,False,False
