,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Balance'],,,853661.15,False,False
1,,['Ledger Balance'],,,878465.14,False,False
2,31/10,"['TRANSFER OF FUND', 'TRE JIANG JIELIAN I-BANK 058-73861-', '1 JiangJielian']",1813.65,Credit,855474.8,False,False
3,01/11,"['SERVICE CHARGE FOR PROCESSING', 'OF IDEAL TRANSACTIONS', 'SCIDEAL']",0.8,Debit,855474.0,False,False
4,01/11,"['INTERBANK GIRO', 'UOL PROPERTY INVEST', '2Z2019005150', '1000023410']",29713.9,Debit,825760.1,False,False
5,02/11,"['Inward PayNow', 'Havel nah. N2. 2019', 'peo 84100000000000000C261527400', '5', 'OTHER', 'PayLah! JN', 'SGD 1727.65']",1727.65,Credit,827487.75,False,False
6,04/11,"['REMITTANCE TRANSFER OF FUNDS', 'RTF EBACT91 104371985', '0016RF7339139', 'DAVID LEE HUAT HWEE', 'SGD 1716.69']",1716.69,Debit,825771.06,False,False
7,04/11,"['TRANSFER OF FUND', 'TRF TEO YULING', '-BANK 207-52093-4', 'Elaine Teo']",4251.09,Credit,830022.15,False,False
8,05/11,"['FAST PAYMENT', 'Wang Hamnin fees', 'PIB1911053137151994', 'OTHER', 'TSE EDGAR HOI GA', 'SGD 4251.09']",4251.09,Credit,834273.24,False,False
9,05/11,"['QUICK CHEQUE DEPOSIT', 'QCDM']",2001.57,Credit,836274.81,False,False
10,07/11,"['TRANSFER OF FUND', 'TRF CHUA SHING LING (CAI XIELING)', 'L-BANK 010-43575-7 Goh Jia Rong']",2001.57,Credit,838276.38,False,False
11,08/11,"['GIRO PAYMENT.', '08/11/2019 90000 Curriculum Talk']",481.5,Debit,837794.88,False,False
12,08/11,"['GIRO PAYMENT', '08/11/2019 90001 EBLVT91106791653']",5200.2,Debit,832594.68,False,False
13,09/11,"['SERVICE CHARGE FOR PROCESSING', 'OF IDEAL TRANSACTIONS', 'SCIDEAL']",0.4,Debit,832594.28,False,False
14,11/11,"['REMITTANCE TRANSFER OF FUNDS', 'RTF October Refuse 0016RF7447144', 'SAIFUR AMIN', 'SGD 100']",100.0,Debit,832494.28,False,False
15,11/11,"['REMITTANCE TRANSFER OF FUNDS', 'RTF CamilleHealthB 0016RF7447145', 'CAMILLE ESPLANA NUNE', 'SGD 300']",300.0,Debit,832194.28,False,False
16,11/11,"['REMITTANCE TRANSFER OF FUNDS', 'RTF Hid HealthBonus 0016RF7447146', 'NUR HIDAYAH BTE KHAMIS', 'SGD 300']",300.0,Debit,831894.28,False,False
17,11/11,"['TRANSFER OF FUND', 'TRF CHEN XIAOYUAN, KELVIN I-BANK', '050-59524-2 JEROME CHEN']",3675.72,Credit,835570.0,False,False
18,11/11,"['TRANSFER OF FUND', 'TRF CHUA MING HUNG I-BANK 082-', '327452-7 Chua MH']",4671.6,Credit,840241.6,False,False
19,11/11,"['TRANSFER OF FUND', 'TRF CHUA MING HUNG I-BANK 082-', '327452-7 Chua MH']",4671.6,Credit,844913.2,False,False
20,12/11,"['GIRO PAYMENT', '12/11/2019 80000 Steaming Services for', 'October']",190.0,Debit,844723.2,False,False
21,12/11,"['GIRO PAYMENT', '12/11/2019 80001 September -', 'Accountant Fees']",425.86,Debit,844297.34,False,False
22,12/11,"['GIRO PAYMENT', '12/11/2019 90000 October Royalty &', 'November Digital']",17814.16,Debit,826483.18,False,False
23,,"['GIRO PAYMENT', '12/11/2019 90001 October - Sunshine', 'Orders']",83.58,Debit,826399.6,False,False
24,12/11,"['GIRO PAYMENT', '12/11/2019 90002 October Copier Fees']",94.72,Debit,826304.88,False,False
25,12/11,"['GIRO PAYMENT.', '12/11/2019 90003 August & October - Air', 'Con Services']",963.0,Debit,825341.88,False,False
26,12/11,"['GIRO PAYMENT', '12/11/2019 90004 October Catering']",5870.13,Debit,819471.75,False,False
27,12/11,"['GIRO PAYMENT', '12/11/2019 90005 Petty Cash']",2550.0,Debit,816921.75,False,False
28,12/11,"['INTERBANK GIRO', 'Loans IBG Settlement GL A/C DIRECT', 'DEBIT4018532381', '4018532381']",816.0,Debit,816105.75,False,False
29,13/11,"['SERVICE CHARGE FOR PROCESSING', 'OF IDEAL TRANSACTIONS', 'SCIDEAL']",1.6,Debit,816104.15,False,False
30,14/11,"['INTERBANK GIRO', 'CPF BIZ', '3792552']",14312.0,Debit,801792.15,False,False
31,15/11,"['INTERBANK GIRO', 'IRAS GST', '200805905N']",29312.54,Debit,772479.61,False,False
32,18/11,"['BILL PAYMENT', 'BILL ST -22707637', ': -BANK']",703.15,Debit,771776.46,False,False
33,18/11,"['INTERBANK GIRO', 'CPF BFWL', '3792552']",2405.95,Debit,769370.51,False,False
34,19/11,"['REMITTANCE TRANSFER OF FUNDS', 'RTF EBACT91116505044', '0016RF7557339', 'CHOW GEOK LING CHRISTINA', 'SGD 300']",300.0,Debit,769070.51,False,False
35,19/11,"['GIRO', 'ACCOUNTANT-GENERAL 5003634255', 'INVOICE PAYMENT']",29490.0,Credit,798560.51,False,False
36,19/11,"['GIRO PAYMENT', '19/11/2019 90000 Pest Contro! October']",120.0,Debit,798440.51,False,False
37,20/11,"['SERVICE CHARGE FOR PROCESSING', 'OF IDEAL TRANSACTIONS', 'SCIDEAL']",0.2,Debit,798440.31,False,False
38,20/11,"['GIRO PAYMENT', '20/11/2019 90000 ChampionFoods Oct']",4396.93,Debit,794043.38,False,False
39,21/11,"['BILL PAYMENT', 'BILL ST -51462383', ': LBANK']",125.75,Debit,793917.63,False,False
40,21/11,"['SERVICE CHARGE FOR PROCESSING', 'OF IDEAL TRANSACTIONS', 'SCIDEAL']",0.2,Debit,793917.43,False,False
41,25/11,"['GIRO', 'SP SERVICES LIMITED GIRO', 'COLLECTION', '8931163334']",188.75,Debit,793728.68,False,False
42,26/11,"['QUICK CHEQUE DEPOSIT', 'QCDM']",88.0,Credit,793816.68,False,False
43,27/11,"['Inward PayNow', '11738272H Lucas L EastCoa', '191127SCBLSG22B0241483C13001333', '4600', 'OTHER', 'LIU XIAQJING', 'SGD 1504.56']",1504.56,Credit,795321.24,False,False
44,27/11,"['GIRO COLLECTION', '27/11/2019 90000 EBCOL91122738530']",72435.52,Credit,867756.76,False,False
45,27/11,"['GIRO COLLECTION', '27/11/2019 90001 EBCOL91122738568']",67407.83,Credit,935164.59,False,False
46,27/11,"['GIRO PAYMENT', '27/11/2019 80000 EA Referral']",1442.36,Debit,933722.23,False,False
47,27/11,"['GIRO PAYMENT', '27/11/2019 80001 Merchandise Order', 'November']",507.18,Debit,933215.05,False,False
48,27/11,"['GIRO PAYMENT', '27/11/2019 90002 Loyalty Health Bonus', 'Anna']",300.0,Debit,932915.05,False,False
49,27/11,"['GIRO PAYMENT', '27/41/2019 90003 EBLVT91 126952893']",5000.0,Debit,927915.05,False,False
50,28/11,"['FAST PAYMENT', 'Qian yulong PIB1911283196150911', 'OTHER', 'JIANG JIELIAN', 'SGD 1835.05']",1835.05,Credit,929750.1,False,False
51,28/11,"['RETURNED INTERBANK GIRO ITEM', '27/11/2019 90001 00031', '11407813J']",640.6,Debit,929109.5,False,False
52,28/11,"['RETURNED INTERBANK GIRO ITEM', '27/11/2019 90001 00009', '11734139H']",1643.66,Debit,927465.84,False,False
53,28/11,"['SERVICE CHARGE FOR PROCESSING', 'OF IDEAL TRANSACTIONS', 'SCIDEAL']",17.0,Debit,927448.84,False,False
54,28/11,"['FAST PAYMENT', 'Other', 'Y030311911282258211983191 1282258', '21', 'OTHER', 'HO GUOWE], CALVIN', 'SGD 640.6']",640.6,Credit,928089.44,False,False
55,29/11,"['Inward PayNow', 'Amber Lim PG 2019', 'Ihe 527381226300000000C446203789', 'OTHER', 'LIM ZHIFENG', 'SGD 1483.16']",1483.16,Credit,929572.6,False,False
56,29/11,"['ADVICE', 'SC-RGR 0390FR19057457']",2.0,Debit,929570.6,False,False
