,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Balance'],,,324698.66,False,False
1,,['Ledger Balance'],,,40310.38,False,False
2,01/02,"['STANDING ORDER INSTRUCTION /', 'SERVICE FEE', 'SI ANNABEL PASCUAL SI']",1700.0,Credit,326398.66,False,False
3,01/02,"['Oo zegas', 'Oo', 'MER 3038032340 0016117522083', 'HAA', 'oS', 'AGODA COMPANY PTE LTD. -', 'Me', '8']",,,320155.14,False,True
4,01/02,[],786.45,,,False,True
5,01/02,"['FAST PAYMENT', '44826180201 0919471037 1802010919', '4', 'OTHER', 'LAU HEI', 'ces', 'iste ng OD 1400', 'tte']",1400.0,,330555.11,False,False
6,01/02,"['FASTPAYMENT', 'ot STRIPE. SOXPIB9IC.', '480201SCBLSGSGB0740453-', 'ple', 'igh', 'Cu ey oo', 'CASH DISBURSEMENT! 2 ecb es ee', 'BRUNE', 'e GSES']",,,984050.32,False,True
7,01/02,"['INTERBANK GIRO', 'CITIBANK IRELAND FINANCIAL', 'SERVICES KIOTSG5QC5CC', 'cee', '_ RECURRING INSTALLMENT PAYMENT']",2226.49,Debit,333276.81,False,True
8,01/02,"['Cs AGITIBANK IRELAND FINANCIAL.', 'en SERVICES KIOTSGSQCSCL', 'ee RECURRINGINSTALLMENT PAYMENT', '0 50']",884022.44,,,False,True
9,02/02,"['TRANSFER TO OTHER DBS A/CS, AT', 'DBS ATM', 'ccees waa nmepc ore aneag AM oe sea copason ts st', 'ngoasane']",1350.0,,335372.44,False,False
10,02/02,"['02-Feb-2018 «=~ INTERBANKGIRO ©', 'Ree', 'GITIBANIC IRELAND FINANCIAL: 0050', '5 e800', 'Oe', 'SERVICES KIOUSGSQKXSX', 'alae', 'RECURRING INSTALLMENT PAYMENT!', '00 0', 'ees', 'eet']",335693.51,Credit,895699.51,False,True
11,02/02,"['INTERBANK GIRO', 'CITIBANK IRELAND FINANCIAL', 'SERVICES KIOUSG5QKXSO', 'spon', 'asec ECO RRING INSTALLMENT PAYMENT', 'cohen']",1479.23,Debit,337172.74,False,True
12,05/02,"['=~ FASTPAYMENT.', 'De', 'STRIPEMIV9GZDJR', 'Sp', 'seoz0sscBLsGsGBosise41', '2S', '8 CASH DISBURSEMENT', '7 STRIPE PAYMENTS SINGAPORE PTE:']",,,937388.32,False,True
13,05/02,"['FAST PAYMENT', 'STRIPE 5A082EaTr', '180205SCBLSGSGB0815181', 'CASH DISBURSEMENT', 'STRIPE PAYMENTS SINGAPORE PTE.', 'SGD 1393.53']",1393.53,Debit,338778.85,False,True
14,05/02,"['TRANSFEROFR FUND) 9', 'OE', 'eG TRELE VUINGOC TRAMI-BANK 179-0']",1.4,Credit,840178.85,False,True
15,05/02,"['INTERBANK GIRO', 'CITIBANK IRELAND. FINANCIAL', 'SERVICES KI10SG5QPW55', 'RECURRING INSTALLMENT PAYMENT =', '05-Feb-2018. OS-Feb-2018. == INTERBANKGIRO', 'gdazg 0 gaa.a73a7', 'Oe', 'GITIBANK IRELAND FINANCIAL ©', 'SE', 'So) SERVICES KMOSGSQPW67,', 'oS', 'OE', 'RECURRING INSTALEMENT PAYMENT. 05', '02']",1369.59,Debit,341548.44,False,True
16,05/02,"['CHEQUE', 'secutegy 0000089', 'nnn', 'coe', '05-Feb-2018', '05-Feb-2018', 'CHEQUE', '2000000', 'er,', 'pi ARGS', 'oS', '0000081', 'a ge ee', 'Re']",73000.0,Debit,270373.17,False,True
17,06/02,['RETURNED CHEQUE'],73000.0,Debit,51373.17,False,True
18,06/02,"['ee SCORCH', 'DUE']",,,,,True
19,06/02,"['REMITTANCE TRANSFER OF FUNDS', 'RTF EBACT80206969294', '0016RF9104731', 'CAI WENCHAO', 'SGD 33000']",33000.0,,18333.17,False,False
20,06/02,"['INTERBANKGIRO.=', 'eee', 'oo“', 'GITIBANK IRELAND FINANCIAL,', 'EE', 'Ce', 'SERVICES KIISGSQQTFS']",146.87,Credit,20180.04,False,True
21,06/02,[],2.0,,,False,True
22,06/02,"['INTERBANK GIRO', 'CITIBANK IRELAND FINANCIAL', 'SERVICES KI11SG5QRTO01', 'RECURRING INSTALLMENT PAYMENT ==', '06-Feb-2018.', '06-Feb-2018', 's INTERBANKGIRO', 'a ggezr', 'aa 96ti81', 'eee', 'CITIBANKIRELAND-FINANCIAL ©', 'OE', 'EOE', 'ORR', 'SERVICES KH4SGBQQTEV', '2 ees', 'RECURRING INSTALLMENT PAYMENT,', 'yee']",395.0,,20575.04,False,False
23,06/02,"['REMITTANCE TRANSFER OF FUNDS', 'RTF_EBACT80206972222', '0016RF9111254', 'CAI WENCHAO', 'coe', 'SGD 8000.', 'ese', '“07-Feb-2018', '-<O7-Feb-2018. «== MEPSRECEIPT.', 'gee ta', 'ez 5', 'Be', 'MER 3038038680 0016117545388', 'ote', 'ans', 'AGODACOMPANY PTELTD.']",8000.0,Debit,13961.81,False,True
24,06/02,['add'],806.14,,,False,True
25,07/02,"['FAST PAYMENT', 'STRIPE OYTUrRRzi', '180207SCBLSGSGB0852057', 'CASH DISBURSEMENT', 'STRIPE PAYMENTS SINGAPORE PTE.', 'TD.', 'SGD 2611.67']",2611.67,,19939.62,False,False
26,07/02,"['INTERBANKGIRO', 'OF', '2 ee 9s GIIBANIREVANDRINANCIAL', 'SERVICES KiMaSGBQV202', 'Oe RECURRING INSTALLMENT PAYMENT:', '9000']",320.0,Credit,20259.62,False,False
27,07/02,"['INTERBANK GIRO', 'CITIBANK IRELAND FINANCIAL', 'SERVICES KI14SG5QTKDG', 'RECURRING INSTALLMENT PAYMENT']",2025.17,Credit,22284.79,False,False
28,07/02,"['- O7-Feb-2018.', 'FOS AES', 'een', '- QITIBANK IRELAND FINANCIAL', 'pegs', '""SERVICES. KIH4SG5QTKDO 8', 'De', 'as RECURRINGINSTALLMENT PAYMENT', '5']",,,87.91,False,True
29,07/02,"['INTERBANK GIRO', 'CITIBANK IRELAND FINANCIAL', 'SERVICES KM14SG5QTJYH', 'RECURRING INSTALLMENT PAYMENT']",2630.95,Credit,25788.86,False,True
30,07/02,"['INTERBANK GIRO', 'CITIBANK IRELAND FINANCIAL SERVICES KI14SG5QTK6X', '_ RECURRING INSTALLMENT PAYMENT', 'cose', '07-Feb-2018. O7-Feb-2018. «== INTERBANKGIRO.', 'ee', 'Ce', 'CIMIBANK IRELAND FINANCIAL,', 'SERVICES KIASGEQTIYS', 'Be', 'RECURRING INSTALLMENT PAYMENT']",775.02,Credit,27193.41,False,True
31,07/02,"['FAST PAYMENT', 'ent', '244828 18020723372081061 802072337', 'RENT', 'DAPHNE FRANCESCA TAN', 'SGD 2200.', 'coussensguce,']",2200.0,Credit,30141.53,False,True
32,08/02,"['OR', 'ON']",,,,,True
33,08/02,"['FAST PAYMENT', 'STRIPE UYcW5pBXH', '180208SCBLSGSGB0868877', 'CASH DISBURSEMENT', 'STRIPE PAYMENTS SINGAPORE PTE.', 'copies', 'S90118786', 'cite', 'tescg it tcsss', 'con', '08-Feb-2018', '08-Feb-2018 == TRANSFEROF FUND)', 'TRE ABIERAGABRIEL PHILLIPE', 'Oe', 'AMURAO FBANK 120-417068-3. GPA']",1187.86,,30019.39,False,False
34,08/02,"['TRANSFER OF FUND', 'TRF LAI HOANG PHUONG HA I-BANK', 'ties nese', 'someone', 'ron ore oN OOO.', 'onuoscrcets', 'tsa', 'dngpeninsdes ceo', 'ppietiesépe', 'posses aeepes-eos.']",2200.0,Credit,33669.39,False,True
35,08/02,"['4 eea70.', 'Cee Re ee', 'ee _CITIBANKIRELAND FINANCIAL', 'oe) SERVICES KMSSG5QWXBI', 'UE le', 'soc', 'se io', 'RECURRING INSTALLMENT:PAYMENT']",4294.09,Debit,3204.0,False,True
36,08/02,"['INTERBANK GIRO', 'CITIBANK IRELAND FINANCIAL', 'SERVICES KI1SSG5QWXAV', 'RECURRING INSTALLMENT PAYMENT']",2116.32,Credit,36410.41,False,True
37,09/02,"['beat', 'ae a eure', 'Paes', '& _ STRIPE: IGHI542E1. ee a Gees', '& eae. a Le', 'eee Be Deg', '480209SCBLSGSGB0B85895._- wal BES ee ee', 'Og ee CASHEDISBURSEMENT', 'ee STRIPE PAYMENTS. SINGAPOREPIE', '“8', 'sen sonar', '# #3&7&7©°©§©=©=—h', 'C—O', 'Ct']",,,36.97,False,True
38,09/02,"['FAST PAYMENT', '#04-03B_Feb2018', 'PIB1802091769046455', 'RENT', 'STEPHANIE SANDJAJA TAIRAS', 'copys peine', 'SGD 1800', 'ge spa', 'een', 'poten', 'pssst', 'ogee apne eration geese']",1800.0,Credit,38770.82,False,True
39,09/02,"['8 aeeat', '8 GIMIBANKIRELANDFINANCIAL, =', 'PD', 'Os SERVICES KIVBSGSQZOCZ', 'RECURRING INSTALLMENT PAYMENT']",0.8,,,False,True
40,09/02,"['INTERBANK GIRO', 'TRAVELSCAPE, LLC 1000020479', 'SUPPLIER PAYMENT']",778.02,,41031.31,False,False
41,09/02,"['INTERBANKGIRO,', '0 GIMIBANK IRELAND FINANGIAL, 2', 'SERVICES Kinescsqz0CU.', '-.—rrt~—“—s—.C—“‘<M————CC', '_ RECURRING INSTALLMENT PAYMENT 000', 'PrintedBy: © GREECWO@GREEDYG3', 'Page 3/', '10', 'Printed On:', '28-Mar-2018 02:41:51']",,,42309.95,False,True
42,,"['Account Details ce eS', 'TRF WONG MEEI MEEI I-BANK 041-7-', 'ere sy DAB4BE REM OF OTA', 'organ sewers', 'te ui', 'iaitaasaen', 'cosas', 'arr', 'TEE', 'STRIPE OUBAWOEG', 'rrr UC Lrrrrr—“‘CSCdsC“:C::CCCCsC', 'i ASHUISBURSEMENT', 'ee IRrecmMeNTsenchrcre tte']",1800.0,Credit,44109.95,False,False
43,12/02,"['FAST PAYMENT', 'STRIPE CglerrZdz', '180212SCBLSGSGB0928637', 'CASH DISBURSEMENT', 'STRIPE PAYMENTS SINGAPORE PTE.', 'esis,', 'SOD 8200', '“42-Feb-2018', '12-Feb-2018', 'EASTPAYMENT', 'tes', 'aT BA', 'STRIPE OIONLCAQW', 'Oe ee', '5S rr', 'Ce rrrrr—<“i*isisOCCsCsésSNSCOSaCizCr(CRCCOC”sC', 'CASHDISBURSEMENT', 'i rrrtrssCiC', 'STRIPE PAYMENTS SINGEORE EE', 'Dr', '6 ee']",52.99,Credit,44647.36,False,True
44,12/02,"['INTERBANK GIRO', 'CITIBANK IRELAND FINANCIAL', 'SERVICES KI17SG5R1TEW', 'RECURRING INSTALLMENT PAYMENT.', 'SIE RIE', 'reac', 'ote', 'ewe', '8 SERIES KTSGERITIO', '0 RECURRING INSTALLMENT PAYMENT yuo a rrrsr~—~™']",289.0,Credit,45042.34,False,True
45,12/02,"['INTERBANK GIRO', 'CITIBANK IRELAND FINANCIAL', 'SERVICES KI17SG5R1TJW.', 'spss', 'guangva', 'womens', 'aa, RECURRING INSTALLMENT PAYMENT.']",1782.88,Credit,47469.3,False,True
46,12/02,"['isreb2018 == EASTPAYMENT,', 'Oo', '28 sepssewes', '————=C*C*#dC# tpozisscpiscscpooasoz:', '8 ocastiseunsewent', 'RENN']",7953.25,Debit,958.28,False,True
47,13/02,"['EAST PAYMENT', 'yasszot 8021321244663911802132124', '7', 'OTHER', 'CAI WENYUE', '4gpeRboe OT Wveebaote', 'irene', 'two', 'a tbe', '2 _ GITIBANK IRELAND El NANCIAL =', '= SERVICES. KIIBSGSROTIN.', 'Oe', '(RECURRING INSTALLMENT PAYMENT.']",9000.0,Credit,56953.25,False,True
