,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,01/08,"['CHEQUE', '0000247']",2200.0,,38297.54,False,False
1,02/08,"['CASH TRANSACTION', '0000253']",1430.0,Debit,36867.54,False,False
2,02/08,"['CHEQUE', '0000242']",2800.0,Debit,34067.54,False,False
3,02/08,"['CHEQUE', '0000243']",3800.0,Debit,30267.54,False,False
4,05/08,"['aan CHEQUE DEPOSIT', '0000244']",214.0,Credit,30481.54,False,False
5,05/08,"['CHEQUE', '0000246']",3200.0,Debit,24774.14,False,True
6,05/08,"['CHEQUE', '0000255']",566.25,Debit,24207.89,False,False
7,05/08,"['CHEQUE', '0000257']",3703.53,Debit,20504.36,False,False
8,05/08,"['FAST PAYMENT', 'RENOVATION 1000075241', 'OTHER', 'NILANJAN RAY', 'SGD 4119.5']",4119.5,Credit,24623.86,False,False
9,06/08,"['CASH TRANSACTION', '0000245']",960.0,Debit,23663.86,False,False
10,06/08,"['CASH TRANSACTION', '0000265']",2610.76,Debit,21053.1,False,False
11,06/08,"['CASH TRANSACTION', '0000266']",4638.7,Debit,16414.4,False,False
12,06/08,"['CHEQUE', '0000267']",690.0,Debit,15724.4,False,False
13,07/08,"['CHEQUE', '0000256']",1896.47,Debit,13827.93,False,False
14,07/08,"['CHEQUE', '0000258']",600.0,Debit,13227.93,False,False
15,07/08,"['CHEQUE', '0000260']",679.23,Debit,12548.7,False,False
16,07/08,"['CHEQUE', '0000263']",3634.79,Debit,8913.91,False,False
17,08/08,"['INTERBANK GIRO.', 'AMERICAN BUREAU OF SHIPPING', '78302', 'OTHER']",577.8,Credit,9491.71,False,False
18,13/08,"['QUICK CHEQUE DEPOSIT', 'QcDM']",214.0,Credit,9705.71,False,False
19,13/08,"['QUICK CHEQUE DEPOSIT', 'QCDM']",470.8,Credit,10176.51,False,False
20,13/08,['auc CHEQUE DEPOSIT'],14231.0,Credit,24407.51,False,False
21,,"['INTERBANK GIRO', 'ROYAL DANISH EMBASSY INV', '000880/881', 'INVOICE PAYMENT']",2150.7,Credit,26558.21,False,False
22,15/08,"['CHEQUE', '0000224']",2348.86,Debit,24209.35,False,False
23,16/08,"['INTERBANK GIRO', 'ABSG CONSULTING INC 5008045', 'OTHER']",4429.8,Credit,28639.15,False,False
24,16/08,"['CHEQUE', '9000261']",223.72,Debit,28415.43,False,False
25,19/08,"['INTERBANK GIRO', 'SIGNIFY SINGAPORE PTE. LTD.', '0619052751POB19R', 'SUPPLIER PAYMENT']",20383.5,Credit,48798.93,False,False
26,19/08,"['INTERBANK GIRO', 'SIGNIFY SINGAPORE PTE. LTD.', '0619053227POB19R', 'SUPPLIER PAYMENT']",2375.4,Credit,51174.33,False,False
27,19/08,"['INTERBANK GIRO', 'Ramky Solutions Pte. Ltd. GATLO243', 'GATLO243']",90.0,Debit,51084.33,False,False
28,19/08,"['INTERBANK GIRO', 'Ramiy Solutions Pte. Ltd. GATLO254', 'GATLO251']",90.0,Debit,50994.33,False,False
29,19/08,"['INTERBANK GIRO', 'Ramky Solutions Pte. Ltd. GATLO251', 'GATLO251']",90.0,Debit,50904.33,False,False
30,19/08,"['INTERBANK GIRO', 'Ramky Solutions Pte. Ltd. GATLO251', 'GATLO251']",90.0,Debit,50814.33,False,False
31,19/08,"['INTERBANK GIRO', 'Ramky Solutions Pte. Lid. GATLO244', 'GATLO244']",80.0,Debit,50734.33,False,False
32,19/08,"['INTERBANK GIRO', 'Ramky Solutions Pte, Ltd, GATLO251', 'GATLO251']",90.0,Debit,50644.33,False,False
33,19/08,"['CHEQUE', '0000254']",260.0,Debit,50384.33,False,False
34,19/08,"['CHEQUE', '0000268']",60.0,Debit,50324.33,False,False
35,20/08,['Sonn CHEQUE DEPOSIT'],374.5,Credit,50698.83,False,False
36,20/08,['aut CHEQUE DEPOSIT'],900.0,Credit,51598.83,False,False
37,20/08,"['CHEQUE', '0000259']",114.5,Debit,51484.33,False,False
38,20/08,"['CHEQUE', '0000273']",2546.6,Debit,48937.73,False,False
39,20/08,"['CHEQUE', '0000276']",642.0,Debit,48295.73,False,False
40,21/08,"['CHEQUE', '0000272']",546.94,Debit,47748.79,False,False
41,22/08,"['FAST PAYMENT', 'invoice 882 PIB1908222933038138', 'OTHER', 'LEE JUNHAO JONATHAN', 'SGD 3559.68']",3559.68,Credit,51308.47,False,False
42,22/08,"['CHEQUE', '0000271']",113.25,Debit,51195.22,False,False
43,23/08,"['CHEQUE', '0000264']",275.0,Debit,50920.22,False,False
44,26/08,['oni CHEQUE DEPOSIT'],695.5,Credit,51615.72,False,False
