,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Balance'],,,25787.36,False,False
1,,['Ledger Balance'],,,44094.2,False,False
2,01/11,"['FAST PAYMENT', '713NU0408600 NUODLE PTE LTD', 'API20191 10106173424', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 115.2']",115.2,Credit,25902.56,False,False
3,01/11,"['FAST PAYMENT', 'GFNUODNC89 Nuodle Pte Ltd', 'API2019110106175462', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 54.9']",54.9,Credit,25957.46,False,False
4,01/11,"['FAST PAYMENT', 'GFNUODSC22 Nuodle Pte Lid', 'API2019110106175925', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 20.74']",20.74,Credit,25978.2,False,False
5,01/11,"['POINT-OF-SALE TRANSACTION', 'POS6746 NUODLE PTE']",380.0,Credit,26358.2,False,False
6,01/11,"['INTERBANK GIRO', 'Bank Of China Singapore Branch Card', '20191101 BKCHSGSGBBP0689528', 'OTHER']",933.68,Credit,27291.88,False,False
7,01/11,"['INTERBANK GIRO', 'Bank Of China Singapore Branch Card', '20191101BKCHSGSGBBP0690102', 'OTHER']",1240.44,Credit,28532.32,False,False
8,01/11,"['INTERBANK GIRO.', 'ON BEHALF OF UNIWEB 191029-', '121030 Nuodle Pte Ltd (Niu Y', 'OTHER']",19.48,Credit,28551.8,False,False
9,01/11,"['INTERBANK GIRO', 'SINGPOST', '(REVENUE ACCOUN', 'Nov 19 Rental', '79500097']",16050.81,Debit,12500.99,False,False
10,01/11,"['CHEQUE', '0000449']",2084.36,Debit,10416.63,False,False
11,02/11,"['FAST PAYMENT', '713NU0408600 NUODLE PTE LTD', 'API2019110206207712', 'OTHER', '4', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 57']",57.0,Credit,10473.63,False,False
12,02/11,"['FAST PAYMENT', 'GFNUODNC89 Nuodle Pte Ltd', 'API2019110206211980', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 54.08']",54.08,Credit,10527.71,False,False
13,02/11,"['FAST PAYMENT', 'GFNUODSC22 Nuodle Pte Ltd', 'API20191 10206212957', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 28.96']",28.96,Credit,10556.67,False,False
14,03/11,"['FAST PAYMENT', '713NU0408600 NUODLE PTE LTD', 'AP1I20191 10306250325', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 185']",185.0,Credit,10741.67,False,False
