,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Opening Balance'],,,47106.35,False,False
1,,['Ledger Balance'],,,22769.84,False,False
2,,['Aw'],22769.84,Debit,0.0,False,False
3,,"['Poe co:', 'Y m ©']",22769.84,,,False,True
4,31/10,"['FAST PAYMENT', 'Waitrr Payout', 'ROS0000000000000488695000000040', 'CASH DISBURSEMENT', 'WAITRR PTE LTD', 'SGD 7.5']",7.5,Credit,47113.85,False,False
5,01/11,"['FAST PAYMENT', '329GAD409051 STAPLE FOOD PT', 'API2019110106175729', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 61.87']",61.87,Credit,47175.72,False,False
6,01/11,"['FAST PAYMENT', '281GAD769098 STAPLE FOOD PT', 'API2019110106175816', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 47.21']",47.21,Credit,47222.93,False,False
7,01/11,"['EAST PAYMENT.', 'GFGADOCL04 STAPLE FOOD PT', 'AP12019110106176203', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 466.4']",466.4,Credit,47689.33,False,False
8,01/11,"['FAST PAYMENT', '945GAD048616 STAPLE FOOD PT', 'API2019110106176493', 'OTHER', 'GPAY NETWORK (8) PTE. LTD.', 'SGD 178.81']",178.81,Credit,47868.14,False,False
9,01/11,"['FAST PAYMENT', 'GFGADO6P33 Staple Food Pt', 'API2019110106176615', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 214.62']",214.62,Credit,48082.76,False,False
10,01/11,"['FAST PAYMENT.', 'GFGADONC37 Staple Food Pt', 'API2019110106176940', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 49.72']",49.72,Credit,48132.48,False,False
11,01/11,"['FAST PAYMENT', 'GFGADOORS36 Staple Food Pt', 'API2019110106178011', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 60.32']",60.32,Credit,48192.8,False,False
12,01/11,"['POINT-OF-SALE TRANSACTION', 'POS6604. STAPLE FOO']",8.5,Credit,48201.3,False,False
13,01/11,"['POINT-OF-SALE TRANSACTION', 'POS6605 STAPLE FOO']",14.16,Credit,48215.46,False,False
14,01/11,"['INTERBANK GIRO', 'OUB CENTRE LIMITED', 'OIGSGOUBCLA14589', '201211117H']",9382.83,Debit,38832.63,False,False
15,02/11,"['FAST PAYMENT', '281GAD769098 STAPLE FOOD PT', 'API2019110206206594', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 112.43']",112.43,Credit,38945.06,False,False
16,02/11,"['FAST PAYMENT', 'GFGADOCL04 STAPLE FOOD PT', 'API2019110206209744', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 209.66']",209.66,Credit,39154.72,False,False
17,02/11,"['FAST PAYMENT', '329GAD409051 STAPLE FOOD PT', 'API2019110206212024', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 65.54']",65.54,Credit,39220.26,False,False
18,02/11,"['FAST PAYMENT', 'GFGADONC37 Staple Food Pt', 'AP12019110206212478', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 92.05']",92.05,Credit,39312.31,False,False
19,02/11,"['FAST PAYMENT', '945GAD048616 STAPLE FOOD PT', 'API20191 10206212951', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 260.69']",260.69,Credit,39573.0,False,False
20,02/11,"['FAST PAYMENT', 'GFGADO6P33 Staple Food Pt', 'API2019110206213620', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 134.01']",134.01,Credit,39707.01,False,False
21,02/11,"['FAST PAYMENT', 'GFGADOOR36 Staple Food Pt', 'AP12019110206217189', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 25.73']",25.73,Credit,39732.74,False,False
22,02/11,"['DEPOSIT', 'DEP 89026850,PAYA LEBAR BR2 ,']",1217.0,Credit,40949.74,False,False
23,02/11,"['DEPOSIT', 'DEP 89026850,PAYA LEBAR BR2 ,']",200.0,Credit,41149.74,False,False
24,02/11,"['DEPOSIT', 'DEP 89026850,PAYA LEBAR BR2 ,']",1119.0,Credit,42268.74,False,False
25,02/11,"['ARAN SRE TO OTHER DBS AICS, AT', 'OTRF 10541531 ,MIDVIEW CITY']",70.0,Debit,42198.74,False,False
26,02/11,"['ea TO OTHER DBS A/CS, AT', 'OTRF 10541531,MIDVIEW CITY']",30.95,Debit,42167.79,False,False
27,03/11,"['REMITTANCE TRANSFER OF FUNDS', 'RTF gojek azmy wix 0016RF7334003', 'MSY', 'SGD 11.3']",11.3,Debit,42156.49,False,False
28,03/11,"['REMITTANCE TRANSFER OF FUNDS', 'RTF saba trspt claim 0016RF7334015', 'SABARIAH', 'SGD 23.6']",23.6,Debit,42132.89,False,False
29,03/11,"['REMITTANCE TRANSFER OF FUNDS.', 'RTF 201910 AZMY ADV', '0016RF7334034', 'MSY', 'SGD 50']",50.0,Debit,42082.89,False,False
30,03/11,"['FAST PAYMENT', '281GAD769098 STAPLE FOOD PT', 'API20191 10306251885', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 143.67']",143.67,Credit,42226.56,False,False
31,03/11,"['FAST PAYMENT', '329GAD409051 STAPLE FOOD PT', 'API2019110306252182', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 15.17']",15.17,Credit,42241.73,False,False
32,03/11,"['FAST PAYMENT', 'GFGADO6P33 Staple Food Pt', 'API20191 10306252764', 'OTHER', 'GPAY NETWORK (S) PTE. LTD.', 'SGD 142.58']",142.58,Credit,42384.31,False,False
