,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BAL B/F'],,,42800.7,False,False
1,07/01,"[', 5347)']",5.4,Debit,42795.3,False,False
2,07/01,['; 5347}'],26821.71,Debit,15973.59,False,False
3,08/01,"['; 0164;', '14/01/2020; 0090; 0000292 j', '2,279.30', '13,706.09', '14/01/2020; 0185)', '0.50', '13,705.59', '16/01/2020; 0090 0000293 i', '160.00 :', '13,545.59°', '16/01/2020; 0185', '0.50', '13,545.09']",11.8,Credit,15985.39,False,False
4,28/01,"[': OCB {0000736 ;', '31/01/2020} 5347)', '3.40', '99,141.69', '31/01/2020: 5347!', '39,954.00', '59,187.69', '1']",85600.0,Credit,99145.09,False,True
5,31/01,['; 0090/ o000295 i'],1281.0,Debit,57906.69,False,True
6,31/01,['; 0090; 0000296'],2100.0,Debit,55806.69,False,False
7,31/01,['} o18g'],0.49,Credit,55807.18,False,False
8,31/01,['; 0185)'],1.0,Debit,55806.18,False,False
9,,['Total Withdrawals'],,,72606.81,False,False
10,,['Total Deposits'],,,85612.29,False,False
11,,['BAL B/F'],,,55806.18,False,False
12,03/02,['! 0090: 0000294'],1281.0,Debit,54525.18,False,False
13,03/02,['; 0090; 0000297'],1852.0,Debit,52673.18,False,False
14,03/02,[') 0185)'],1.0,Debit,52672.18,False,False
15,05/02,"[': 0090! 0000298', '5702/2020: 0185)', '0.50', '51,412.51', '10/02/2020! 5347)', '5.80', '51,406.71']",1259.17,Debit,51413.01,False,False
16,10/02,[': 5347)'],28643.56,Debit,22763.15,False,True
17,18/02,['; 0090; 0000299'],1873.76,Debit,20889.39,False,False
18,18/02,[': 0185:'],0.5,Debit,20888.89,False,False
19,24/02,[': 0090'],1817.76,Debit,19071.13,False,False
20,24/02,['; 0185)'],0.5,Debit,19070.63,False,False
21,25/02,"[': 0090! 0000300 i', '25/02/2020} 0185:', '0.50:', '18,618.57', '26/02/2020; OCB {0000778 {', '69,550.00 :', '88,168.57']",451.56,Debit,18619.07,False,False
22,28/02,['; 5347;'],3.6,Credit,88164.97,False,True
23,28/02,"['50,548.60 }']",50548.6,,,,True
24,29/02,['! 0160:'],0.55,,37616.92,False,False
25,29/02,"['! 0186!', '2']",3.0,Credit,37619.92,False,False
26,,['Total Withdrawals'],,,87739.81,False,False
27,,['Total Deposits'],,,69553.55,False,False
28,,['BAL B/F'],,,94565.73,False,False
29,02/12,"['0000286', '2/12/2019} 0185)', '2.00 j', '29,573.58', '8/12/2019: 0164!', '5.20', '29,578.78', '9/12/2019} 0090! 0000287', '330.43', '29,248.35', '9/12/2019} 0185;', '0.50', '29,247.85', '1']",18000.0,Debit,29575.58,False,True
30,10/12,"[') 5347;', '10/12/2019! 5347!', '20,055.03', '9,187.62', '23/12/2019] OCB {0000660', '85,600.00', '94 787.62']",5.2,Debit,29242.65,False,True
31,31/12,"[') 5347!', '31/12/2019) 0600; 0000289 i', '1,827.00', '49,252.47', '31/12/2019; 0600; 0000288 :', '2,775.00 i', '46,477.47']",3.4,Credit,94784.22,False,True
32,31/12,['0600 0000280 i'],1853.0,Debit,44624.47,False,True
33,31/12,"[') 0090; 0000291 ;', '31/12/2019 0160', '0.73', '42,798.20']",1827.0,Debit,42797.47,False,False
34,31/12,"['; 0186:', '31/12/2019) 0185)', '2.00', '42,800.70']",4.5,Credit,42802.7,False,True
35,,['Total Withdrawals'],,,137375.46,False,False
36,,['Total Deposits'],,,85610.43,False,False
37,,['BAL B/F'],,,51521.83,False,False
38,01/11,['; 0090! 0000272'],2775.0,Debit,48746.83,False,False
39,01/11,"[', 0090: 0000274 :']",1827.0,Debit,46919.83,False,False
40,01/11,['] 0185;'],1.0,Debit,46918.83,False,False
41,06/11,[') 5347'],17643.23,Debit,29270.4,False,True
42,06/11,['; 0090} 0000277 }'],2500.0,Debit,26770.4,False,False
43,06/11,['} 0185'],0.5,Debit,26769.9,False,False
44,07/11,['} 0090; 0000276'],271.75,Debit,26498.15,False,False
45,07/11,"[') 0185;', 'eats 0090} 0000278', '1,594.42', '24,903.23', '13/11/2019] 0185!', '0.50 j', '24,902.73']",0.5,Debit,26497.65,False,False
46,25/11,['} 0600} 0000279 i'],765.9,Debit,24136.83,False,True
47,25/11,['} 0185j'],0.5,Debit,24136.33,False,False
48,26/11,[') OCB'],74900.0,Credit,99036.33,False,False
49,26/11,['0090/ 0000281'],2453.85,Debit,96582.48,False,False
50,26/11,['} one)'],0.5,Debit,96581.98,False,False
51,29/11,['! 0090! 0000280'],167.42,Debit,96414.56,False,False
52,29/11,['} 0185'],0.5,Debit,96414.06,False,False
53,30/11,"[', 0600} 0000285']",1853.0,Debit,94561.06,False,False
54,30/11,"[', 0160', '30/11/2019! 0186!', '4.50 :', '94,566.23']",0.67,Credit,94561.73,False,False
55,30/11,['] 0185'],0.5,Credit,94565.73,False,True
56,,['Total Withdrawals'],,,31861.27,False,False
57,,['Total Deposits'],,,74905.17,False,False
58,01/10,"[', 5347)']",3.0,Credit,77456.96,False,True
59,01/10,"['; 5347)', 'Sat aea', '1,853.00 :', '35,478.96', '0185!', '0.50:', '35,478.46']",40125.0,Debit,37331.96,False,False
60,08/10,['! 5347!'],3.6,Debit,35474.86,False,True
61,08/10,['! 5347;'],18264.38,Debit,17210.48,False,False
62,08/10,['; 0090/ 0000264 i'],61.82,Debit,17148.66,False,False
63,08/10,['; 0090; 0000265'],127.92,Debit,17020.74,False,False
64,08/10,['! 0090; 0000266'],70.92,Debit,16949.82,False,False
65,08/10,"['0090 0000267', 'eee Se', '70.92 ;', '16,807.98', '2.50}', '16,805.48']",70.92,Debit,16878.9,False,False
66,21/10,"[') 0090: 0000263 i', 'ean pea 0090 0000269', '1,175.57;', '14,849.91', '19) 0185:', '1.00', '14,848.91']",780.0,Debit,16025.48,False,True
67,23/10,"[') OCB', '10185', '0.50 }', '96,848.41', '19; 0185)', '0.50', '94,133.28']",85600.0,Credit,100448.91,False,True
68,31/10,"[') 5347,']",3.2,Debit,94130.08,False,True
69,31/10,['} 5347:'],38934.0,Debit,55196.08,False,False
70,31/10,['! 0600: 0000275'],1827.0,Debit,53369.08,False,False
71,31/10,['} 0600; 0000273 }'],1853.0,Debit,51516.08,False,False
72,31/10,['! 0160)'],0.75,Credit,51516.83,False,False
73,31/10,['; 0186:'],6.0,Credit,51522.83,False,False
74,31/10,[') 0185:'],1.0,Debit,51521.83,False,False
75,,['Total Withdrawals'],,,111544.88,False,False
76,,['Total Deposits'],,,85606.75,False,False
77,,['BAL B/F'],,,25227.83,False,False
78,01/09,[': el'],0.5,Debit,23374.33,False,True
79,06/09,"[') 5347', '6/09/2019; 5347)', '12,023.65', '11,347.08', '6/09/2019) 6090; 0000257', '1,495.95', '9,851.13']",3.6,Debit,23370.73,False,False
80,06/09,['; 0090: 0000258'],3000.0,Debit,6851.13,False,True
81,06/09,"[', 0185']",1.0,Debit,6850.13,False,False
82,27/09,['; UOB'],77040.0,Credit,83890.13,False,False
83,30/09,[') 0600) 0000261'],1827.0,Debit,82063.13,False,False
84,30/09,['! 0090! 0000259 i'],2775.0,Debit,79288.13,False,False
85,30/09,"['} 0090; 0000260', '30/09/2019} 0160)', '0.33 :', '77,461.46']",1827.0,Debit,77461.13,False,False
86,30/09,['} 0185)'],1.5,Debit,77459.96,False,True
87,,['Total Withdrawals'],,,24808.2,False,False
88,,['Total Deposits'],,,77040.33,False,False
