,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,58054.68,False,False
1,01/12,"['DEBIT PURCHASE', 'MYR 404.40', '28/11/19', 'xx-6198 Shopee Malaysia', 'KUA']",136.45,Debit,57918.23,False,False
2,02/12,"['DEBIT PURCHASE', '28/11/19', 'xx-6198 Straits Clan', 'SIN']",7.42,Debit,57910.81,False,False
3,02/12,"['DEBIT PURCHASE', '29/11/19', 'xx-6198 PAYPAL', '*20191129010829 402']",15.0,Debit,57895.81,False,False
4,02/12,"['GIRO PAYMENT', 'SGGS191129141370']",6250.0,Debit,51645.81,False,False
5,02/12,"['GIRO CHARGES', 'SGGS191129141370']",0.2,Debit,51645.61,False,False
6,02/12,"['MEPS RECEIPTS', 'IM191202009211000', '1/KEIKO FLORENCE IM', 'TT-SGD980.00']",980.0,Credit,52625.61,False,False
7,02/12,['CHEQUE'],5000.0,Debit,47625.61,False,False
8,03/12,"['CHARGES', '0000001025037452', 'Txn Charges Billing', 'Billing Statement', '0000001025037452']",25.0,Debit,47600.61,False,False
9,04/12,"['DEBIT PURCHASE', '29/11/19', 'xx-6198 Straits Clan', 'SIN']",30.6,Debit,47570.01,False,False
10,04/12,"['DEBIT PURCHASE', 'USD 109.28', '01/12/19', 'xx-6198 GOOGLE*GSUITE', 'HAVEHALA SIN']",153.94,Debit,47416.07,False,False
11,04/12,['CHEQUE'],1545.5,Debit,45870.57,False,False
12,05/12,"['CCY CONVERSION FEE', 'FOR: 18.43 SGD']",0.18,Debit,45870.39,False,False
13,05/12,"['DEBIT PURCHASE', 'USD 1099.00', '01/12/19', 'xx-6198 CLOUDINARY LTD', 'PET']",1553.47,Debit,44316.92,False,False
14,05/12,"['DEBIT PURCHASE', '02/12/19', 'xx-6198 AXA INSURANCE PTE', 'LTD', 'SIN']",55.49,Debit,44261.43,False,False
15,05/12,"['DEBIT PURCHASE', '02/12/19', 'xx-6198 PAYPAL *ADOBESYST', '353']",18.43,Debit,44243.0,False,False
16,06/12,"['CCY CONVERSION FEE', 'FOR: 28.52 SGD']",0.29,Debit,44242.71,False,False
17,06/12,"['CCY CONVERSION FEE', 'FOR: 1,250.00 SGD']",12.5,Debit,44230.21,False,False
18,06/12,"['CCY CONVERSION FEE', 'FOR: 23.00 SGD']",0.23,Debit,44229.98,False,False
19,06/12,"['DEBIT PURCHASE', 'USD 19.00', '03/12/19', 'xx-6198 ZEPLIN, INC.', '415']",26.81,Debit,44203.17,False,False
20,06/12,"['DEBIT PURCHASE', '03/12/19', 'xx-6198 PAYPAL *ATLASSIAN', '402']",28.52,Debit,44174.65,False,False
21,06/12,"['DEBIT PURCHASE', '03/12/19', 'xx-6198 FACEBK RPDLANST92', 'fb.']",1250.0,Debit,42924.65,False,False
22,06/12,"['DEBIT PURCHASE', '04/12/19', 'xx-6198 HARVARD*BUSINESS', 'REVIE 441']",23.0,Debit,42901.65,False,False
23,06/12,"['MEPS RECEIPTS', 'IM191206003395000', 'N(IMTIDA)', 'TT-SGD10400.00']",10400.0,Credit,53301.65,False,False
24,06/12,"['CHEQUE DEPOSIT', 'DBS BANK']",6500.0,Credit,59801.65,False,False
25,07/12,"['CCY CONVERSION FEE', 'FOR: 1,250.00 SGD']",12.5,Debit,59789.15,False,False
26,07/12,"['DEBIT PURCHASE', '04/12/19', 'xx-6198 FACEBK RGNW2NJT92', 'fb.']",1250.0,Debit,58539.15,False,False
27,08/12,"['CCY CONVERSION FEE', 'FOR: 1,250.00 SGD']",12.5,Debit,58526.65,False,False
28,08/12,"['DEBIT PURCHASE', '05/12/19', 'xx-6198 FACEBK TBJ42NWS92', 'fb.']",1250.0,Debit,57276.65,False,False
29,09/12,"['DEBIT PURCHASE', '06/12/19', 'xx-6198 AXA INSURANCE PTE', 'LTD', 'SIN']",761.08,Debit,56515.57,False,False
30,10/12,['CHEQUE'],90.95,Debit,56424.62,False,False
31,10/12,['CHEQUE'],1500.0,Debit,54924.62,False,False
32,11/12,"['CCY CONVERSION FEE', 'FOR: 12.98 SGD']",0.13,Debit,54924.49,False,False
33,11/12,"['CCY CONVERSION FEE', 'FOR: 1,250.00 SGD']",12.5,Debit,54911.99,False,False
34,11/12,"['DEBIT PURCHASE', '08/12/19', 'xx-6198 FACEBK J3NU3NWS92', 'fb.']",1250.0,Debit,53661.99,False,False
35,11/12,"['DEBIT PURCHASE', '08/12/19', 'xx-6198 Hubspot Singapore', 'Ltd', 'Sin']",112.35,Debit,53549.64,False,False
36,11/12,"['DEBIT PURCHASE', '09/12/19', 'xx-6198 APPLE.COM/BILL', '800']",12.98,Debit,53536.66,False,False
37,11/12,"['PAYMENT/TRANSFER', 'BEXP', 'ALSOKNOWNAS', 'HHWT Jetstar Piggybank']",3755.95,Credit,57292.61,False,False
38,12/12,"['CCY CONVERSION FEE', 'FOR: 1,250.00 SGD']",12.5,Debit,57280.11,False,False
39,12/12,"['DEBIT PURCHASE', '09/12/19', 'xx-6198 FACEBK 5QJA6P6T92', 'fb.']",1250.0,Debit,56030.11,False,False
40,12/12,['CHEQUE'],447.49,Debit,55582.62,False,False
41,13/12,"['CCY CONVERSION FEE', 'FOR: 1,250.00 SGD']",12.5,Debit,55570.12,False,False
42,13/12,"['DEBIT PURCHASE', '10/12/19', 'xx-6198 FACEBK HSWY8P2T92', 'fb.']",1250.0,Debit,54320.12,False,False
43,13/12,"['DEBIT PURCHASE', '10/12/19', 'xx-6198 PAYPAL *ATDELICIO', '402']",89.5,Debit,54230.62,False,False
44,13/12,['RETURN CHEQUE'],447.49,Credit,54678.11,False,False
45,13/12,['RETURNED CHQ CHARGE'],40.0,Debit,54638.11,False,False
46,13/12,"['IBG GIRO', 'OTHR', 'KENWOOD APPLIANCES', '34590O6FXVZ']",6000.0,Credit,60638.11,False,False
47,14/12,"['CCY CONVERSION FEE', 'FOR: 1,250.00 SGD']",12.5,Debit,60625.61,False,False
