,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,538125.42,False,False
1,02/01,"['CHECK A/C TT DEP', '2019123100415726', '75 HIGUERA STREET,', '*MDSUSER 000001036']",71172.0,Credit,609297.42,False,False
2,02/01,"['COMM/COMM IN LIEU', '2019123100415726', '75 HIGUERA STREET,', '*MDSUSER 000001036']",7.38,Debit,609290.04,False,False
3,02/01,"['CHECK A/C TT DEP', '2019123100415725', '75 HIGUERA STREET,', '*MDSUSER 000001037']",32620.5,Credit,641910.54,False,False
4,02/01,"['COMM/COMM IN LIEU', '2019123100415725', '75 HIGUERA STREET,', '*MDSUSER 000001037']",7.38,Debit,641903.16,False,False
5,02/01,"['CHECK A/C TT DEP', '2019123100409226', '75 HIGUERA STREET,', '*MDSUSER 000001038']",467.0,Credit,642370.16,False,False
6,02/01,"['COMM/COMM IN LIEU', '2019123100409226', '75 HIGUERA STREET,', '*MDSUSER 000001038']",7.38,Debit,642362.78,False,False
7,02/01,"['CHEQUE', 'PM01', '000770395']",321.0,Debit,642041.78,False,False
8,02/01,"['CHEQUE', 'PM01', '000770396']",535.0,Debit,641506.78,False,False
9,02/01,"['CHEQUE', 'PM01', '000770397']",803.89,Debit,640702.89,False,False
10,02/01,"['CHEQUE', 'PM01', '000770398']",920.2,Debit,639782.69,False,False
11,02/01,"['CHEQUE', 'PM01', '000770399']",2550.45,Debit,637232.24,False,False
12,02/01,"['CHEQUE', 'PM01', '000770400']",4337.06,Debit,632895.18,False,False
13,06/01,"['CHECK A/C TT DEP', '2020010300362744', '75 HIGUERA STREET,', '*MDSUSER 000001202']",18645.37,Credit,651540.55,False,False
14,06/01,"['COMM/COMM IN LIEU', '2020010300362744', '75 HIGUERA STREET,', '*MDSUSER 000001202']",7.35,Debit,651533.2,False,False
15,07/01,"['CHECK A/C TT DEP', 'F60106310813001', 'VAPORE LLC', '*MDSUSER 000000599']",25000.0,Credit,676533.2,False,False
16,07/01,"['COMM/COMM IN LIEU', 'F60106310813001', 'VAPORE LLC', '*MDSUSER 000000599']",7.35,Debit,676525.85,False,False
17,08/01,"['CHEQUE', 'PM01', '000276086']",1565.4,Debit,674960.45,False,False
18,13/01,"['CHECK A/C TT DEP', '5514209010FF', 'VISTA IMAGING INC', '*MDSUSER 000003209']",4990.0,Credit,679950.45,False,False
19,13/01,"['COMM/COMM IN LIEU', '5514209010FF', 'VISTA IMAGING INC', '*MDSUSER 000003209']",7.36,Debit,679943.09,False,False
20,14/01,"['CHECK A/C TT DEP', 'F60113317161001', 'VAPORE LLC', '*MDSUSER 000000745']",25000.0,Credit,704943.09,False,False
21,14/01,"['COMM/COMM IN LIEU', 'F60113317161001', 'VAPORE LLC', '*MDSUSER 000000745']",7.37,Debit,704935.72,False,False
22,17/01,"['CHEQUE', 'PM01', '000416054']",3080.53,Debit,701855.19,False,False
23,21/01,"['CHEQUE', 'PM01', '000394143']",529.65,Debit,701325.54,False,False
24,22/01,"['CHECK A/C TT DEP', 'F60121470620001', 'VAPORE LLC', '*MDSUSER 000000612']",99460.8,Credit,800786.34,False,False
25,22/01,"['COMM/COMM IN LIEU', 'F60121470620001', 'VAPORE LLC', '*MDSUSER 000000612']",7.36,Debit,800778.98,False,False
26,22/01,"['CHECKING A/C WDL', 'IF5TF02013092 001', '*MDSUSER 000012206']",105.58,Debit,800673.4,False,False
27,23/01,"['CHEQUE', 'PM01', '000484561']",1640.95,Debit,799032.45,False,False
28,24/01,"['CHECK A/C TT DEP', 'F60123109111001', 'VAPORE LLC', '*MDSUSER 000000553']",25000.0,Credit,824032.45,False,False
29,24/01,"['COMM/COMM IN LIEU', 'F60123109111001', 'VAPORE LLC', '*MDSUSER 000000553']",7.36,Debit,824025.09,False,False
30,24/01,"['CHEQUE', 'PM01', '000417684']",100000.0,Debit,724025.09,False,False
31,28/01,"['CHECK A/C TT DEP', '2020012400308266', '75 HIGUERA STREET,', '*MDSUSER 000001436']",32620.5,Credit,756645.59,False,False
32,28/01,"['COMM/COMM IN LIEU', '2020012400308266', '75 HIGUERA STREET,', '*MDSUSER 000001436']",7.31,Debit,756638.28,False,False
33,28/01,"['CHECK A/C TT DEP', '4340409024FF', 'VISTA IMAGING INC', '*MDSUSER 000001825']",14990.0,Credit,771628.28,False,False
34,28/01,"['COMM/COMM IN LIEU', '4340409024FF', 'VISTA IMAGING INC', '*MDSUSER 000001825']",7.31,Debit,771620.97,False,False
35,30/01,"['CHEQUE', 'PM01', '000284038']",1617.84,Debit,770003.13,False,False
36,31/01,"['CHEQUE', 'PM01', '000423563']",1698.09,Debit,768305.04,False,False
37,,['BALANCE C/F'],,,768305.04,False,False
38,,['Total Withdrawals'],,,119786.55,False,False
39,,['Total Deposits'],,,349966.17,False,False
