,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,28692.88,False,False
1,01/07,"['PAYMENT/TRANSFER', 'OTHR', 'MADHAVAN MEENAKSHI', 'Transfer']",10000.0,Credit,38692.88,False,False
2,01/07,"['POS SETTLEMENT', '30/06/20', 'MAHA MART', '11151157800']",713.5,Credit,39406.38,False,False
3,01/07,"['TRANSFER', 'CT0018936601', '1E6033BEE8104DA8']",30.0,Credit,39436.38,False,False
4,01/07,['CHEQUE'],186.07,Debit,39250.31,False,False
5,01/07,['CHEQUE'],1000.0,Debit,38250.31,False,False
6,02/07,"['POS SETTLEMENT', '01/07/20', 'MAHA MART', '11151157800']",1047.25,Credit,39297.56,False,False
7,02/07,['CHEQUE'],118.6,Debit,39178.96,False,False
8,02/07,['CHEQUE'],174.62,Debit,39004.34,False,False
9,02/07,['CHEQUE'],568.46,Debit,38435.88,False,False
10,03/07,"['POS SETTLEMENT', '02/07/20', 'MAHA MART', '11151157800']",549.05,Credit,38984.93,False,False
11,03/07,"['CHARGES', '0000001027041382', 'Txn Charges Billing', 'Billing Statement', '0000001027041382']",38.0,Debit,38946.93,False,False
12,04/07,"['TRANSFER', 'CT0018969617', '8BC111EE3B734B3D']",60.0,Credit,39006.93,False,False
13,06/07,"['POS SETTLEMENT', '03/07/20', 'MAHA MART', '11151157800']",732.1,Credit,39739.03,False,False
14,06/07,"['POS SETTLEMENT', '05/07/20', 'MAHA MART', '11151157800']",1048.55,Credit,40787.58,False,False
15,06/07,"['POS SETTLEMENT', '04/07/20', 'MAHA MART', '11151157800']",1626.9,Credit,42414.48,False,False
16,06/07,['CHEQUE'],382.0,Debit,42032.48,False,False
17,06/07,['CHEQUE'],835.67,Debit,41196.81,False,False
18,06/07,['CHEQUE'],975.67,Debit,40221.14,False,False
19,06/07,['CHEQUE'],3300.0,Debit,36921.14,False,False
20,07/07,"['POS SETTLEMENT', '06/07/20', 'MAHA MART', '11151157800']",767.95,Credit,37689.09,False,False
21,07/07,['CHEQUE'],204.0,Debit,37485.09,False,False
22,07/07,['CHEQUE'],518.16,Debit,36966.93,False,False
23,08/07,"['POS SETTLEMENT', '07/07/20', 'MAHA MART', '11151157800']",488.6,Credit,37455.53,False,False
24,08/07,"['IBG GIRO', 'FCPM', 'SOCASH', '00001']",18.0,Credit,37473.53,False,False
25,08/07,['CHEQUE'],548.8,Debit,36924.73,False,False
26,09/07,"['POS SETTLEMENT', '08/07/20', 'MAHA MART', '11151157800']",656.1,Credit,37580.83,False,False
27,09/07,"['TRANSFER', 'CT0019007870', '40F0A39E356543FB']",60.0,Credit,37640.83,False,False
28,09/07,"['IBG GIRO', 'COLL 21353', 'PHILIP MORRIS SINGA', '0000157148']",3788.61,Debit,33852.22,False,False
29,09/07,['CHEQUE'],583.79,Debit,33268.43,False,False
30,09/07,['CHEQUE'],1439.09,Debit,31829.34,False,False
31,13/07,"['POS SETTLEMENT', '09/07/20', 'MAHA MART', '471120511578']",19.3,Credit,31848.64,False,False
32,13/07,"['POS SETTLEMENT', '09/07/20', 'MAHA MART', '11151157800']",693.35,Credit,32541.99,False,False
33,13/07,"['POS SETTLEMENT', '12/07/20', 'MAHA MART', '11151157800']",904.05,Credit,33446.04,False,False
34,13/07,"['POS SETTLEMENT', '10/07/20', 'MAHA MART', '11151157800']",1088.95,Credit,34534.99,False,False
35,13/07,"['POS SETTLEMENT', '11/07/20', 'MAHA MART', '11151157800']",1307.4,Credit,35842.39,False,False
36,13/07,['CHEQUE'],235.4,Debit,35606.99,False,False
37,13/07,['CHEQUE'],414.55,Debit,35192.44,False,False
