,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,124567.33,False,False
1,02/12,"['POS SETTLEMENT', '29/11/19', 'WINS UNITE', '11145209200']",1855.0,Credit,126422.33,False,False
2,02/12,"['POS SETTLEMENT', '01/12/19', 'WINS UNITE', '11145209200']",1908.0,Credit,128330.33,False,False
3,02/12,"['POS SETTLEMENT', '30/11/19', 'WINS UNITE', '11145209200']",2748.0,Credit,131078.33,False,False
4,02/12,"['POS SETTLEMENT', '29/11/19', 'WINS UNITE', '11143763100']",834.0,Credit,131912.33,False,False
5,02/12,"['POS SETTLEMENT', '30/11/19', 'WINS UNITE', '11143763100']",2149.0,Credit,134061.33,False,False
6,02/12,"['POS SETTLEMENT', '01/12/19', 'WINS UNITE', '11143763100']",1626.0,Credit,135687.33,False,False
7,03/12,"['POS SETTLEMENT', '02/12/19', 'WINS UNITE', '11145209200']",82.0,Credit,135769.33,False,False
8,03/12,"['POS SETTLEMENT', '02/12/19', 'WINS UNITE', '11143763100']",730.0,Credit,136499.33,False,False
9,03/12,"['POS PURCHASE', 'AXS PTE LT', 'AXS']",137.91,Debit,136361.42,False,False
10,04/12,"['POS SETTLEMENT', '03/12/19', 'WINS UNITE', '11143763100']",762.0,Credit,137123.42,False,False
11,04/12,"['POS SETTLEMENT', '03/12/19', 'WINS UNITE', '11145209200']",854.0,Credit,137977.42,False,False
12,05/12,"['POS SETTLEMENT', '04/12/19', 'WINS UNITE', '11143763100']",689.0,Credit,138666.42,False,False
13,05/12,"['POS SETTLEMENT', '04/12/19', 'WINS UNITE', '11145209200']",193.0,Credit,138859.42,False,False
14,05/12,"['IBG GIRO', 'REFU', 'IRAS', 'ITX 200507540N']",5549.74,Credit,144409.16,False,False
15,05/12,"['IBG GIRO', 'OTHR', 'AMERICAN EXPRESS IN', '980587116743389151']",89.27,Credit,144498.43,False,False
16,06/12,"['POS SETTLEMENT', '05/12/19', 'WINS UNITE', '11143763100']",836.0,Credit,145334.43,False,False
17,06/12,"['POS SETTLEMENT', '05/12/19', 'WINS UNITE', '11145209200']",561.0,Credit,145895.43,False,False
18,09/12,"['POS SETTLEMENT', '08/12/19', 'WINS UNITE', '11143763100']",2214.0,Credit,148109.43,False,False
19,09/12,"['POS SETTLEMENT', '06/12/19', 'WINS UNITE', '11145209200']",2023.0,Credit,150132.43,False,False
20,09/12,"['POS SETTLEMENT', '07/12/19', 'WINS UNITE', '11143763100']",809.0,Credit,150941.43,False,False
21,09/12,"['POS SETTLEMENT', '08/12/19', 'WINS UNITE', '11145209200']",1664.0,Credit,152605.43,False,False
22,09/12,"['POS SETTLEMENT', '07/12/19', 'WINS UNITE', '11145209200']",1395.0,Credit,154000.43,False,False
23,09/12,"['POS SETTLEMENT', '06/12/19', 'WINS UNITE', '11143763100']",441.0,Credit,154441.43,False,False
24,09/12,"['CASH DEPOSIT', 'OCBC-PG WATERWAY BR', 'SINGAPORE', 'SG']",2784.0,Credit,157225.43,False,False
25,09/12,"['CASH DEPOSIT', 'OCBC-PG WATERWAY BR', 'SINGAPORE', 'SG']",3000.0,Credit,160225.43,False,False
26,09/12,"['3RD PTY TRANSFER ATM', '521827931001', 'OCBC-PG WATERWAY BR', 'SINGAPORE', 'SG']",3700.0,Credit,163925.43,False,False
27,09/12,"['CASH DEPOSIT', 'OCBC-HOUGANG BRANCH', 'SINGAPORE', 'SG']",10000.0,Credit,173925.43,False,False
28,09/12,"['CASH DEPOSIT', 'OCBC-HOUGANG BRANCH', 'SINGAPORE', 'SG']",4692.0,Credit,178617.43,False,False
29,09/12,"['CASH DEPOSIT', 'OCBC-HOUGANG BRANCH', 'SINGAPORE', 'SG']",9950.0,Credit,188567.43,False,False
30,09/12,"['CASH DEPOSIT', 'OCBC-HOUGANG BRANCH', 'SINGAPORE', 'SG']",10000.0,Credit,198567.43,False,False
31,09/12,"['CASH DEPOSIT', 'OCBC-HOUGANG BRANCH', 'SINGAPORE', 'SG']",5360.0,Credit,203927.43,False,False
32,09/12,"['CASH DEPOSIT', 'OCBC-HOUGANG BRANCH', 'SINGAPORE', 'SG']",55.0,Credit,203982.43,False,False
33,09/12,"['CHEQUE DEPOSIT', 'OCBC']",1600.0,Credit,205582.43,False,False
34,09/12,"['CHEQUE DEPOSIT', 'OCBC']",1600.0,Credit,207182.43,False,False
35,09/12,['CHEQUE'],1600.0,Debit,205582.43,False,False
36,09/12,['CHEQUE'],1600.0,Debit,203982.43,False,False
37,09/12,['CHEQUE'],3468.0,Debit,200514.43,False,False
38,10/12,"['POS SETTLEMENT', '09/12/19', 'WINS UNITE', '11145209200']",654.0,Credit,201168.43,False,False
39,10/12,"['POS SETTLEMENT', '09/12/19', 'WINS UNITE', '11143763100']",367.0,Credit,201535.43,False,False
40,11/12,"['POS SETTLEMENT', '10/12/19', 'WINS UNITE', '11143763100']",989.0,Credit,202524.43,False,False
41,11/12,"['POS SETTLEMENT', '10/12/19', 'WINS UNITE', '11145209200']",1744.0,Credit,204268.43,False,False
42,12/12,"['POS SETTLEMENT', '11/12/19', 'WINS UNITE', '11143763100']",314.7,Credit,204583.13,False,False
43,12/12,"['POS SETTLEMENT', '11/12/19', 'WINS UNITE', '11145209200']",769.0,Credit,205352.13,False,False
44,12/12,"['GIRO', 'COLL G045886', 'CPF', 'BIZ']",5996.0,Debit,199356.13,False,False
45,12/12,['CHEQUE'],1400.0,Debit,197956.13,False,False
46,12/12,['CHEQUE'],2386.1,Debit,195570.03,False,False
47,13/12,"['POS SETTLEMENT', '12/12/19', 'WINS UNITE', '11143763100']",1563.9,Credit,197133.93,False,False
48,13/12,"['POS SETTLEMENT', '12/12/19', 'WINS UNITE', '11145209200']",870.0,Credit,198003.93,False,False
49,16/12,"['POS SETTLEMENT', '13/12/19', 'WINS UNITE', '11145209200']",414.0,Credit,198417.93,False,False
50,16/12,"['POS SETTLEMENT', '14/12/19', 'WINS UNITE', '11143763100']",1925.0,Credit,200342.93,False,False
51,16/12,"['POS SETTLEMENT', '15/12/19', 'WINS UNITE', '11145209200']",2358.0,Credit,202700.93,False,False
52,16/12,"['POS SETTLEMENT', '14/12/19', 'WINS UNITE', '11145209200']",2862.0,Credit,205562.93,False,False
53,16/12,"['POS SETTLEMENT', '13/12/19', 'WINS UNITE', '11143763100']",567.0,Credit,206129.93,False,False
54,16/12,"['POS SETTLEMENT', '15/12/19', 'WINS UNITE', '11143763100']",2547.0,Credit,208676.93,False,False
55,16/12,"['POS PURCHASE', 'AXS PTE LT', 'AXS']",343.21,Debit,208333.72,False,False
56,16/12,"['IBG GIRO', 'OTHR', 'AMERICAN EXPRESS IN', '980587116743482894']",54.94,Credit,208388.66,False,False
57,17/12,"['POS SETTLEMENT', '16/12/19', 'WINS UNITE', '11143763100']",655.0,Credit,209043.66,False,False
58,17/12,"['POS SETTLEMENT', '16/12/19', 'WINS UNITE', '11145209200']",1078.0,Credit,210121.66,False,False
59,17/12,"['GIRO', 'COLL G045886', 'CPF', 'BFWL']",1250.0,Debit,208871.66,False,False
60,18/12,"['POS SETTLEMENT', '17/12/19', 'WINS UNITE', '11143763100']",789.0,Credit,209660.66,False,False
61,18/12,"['POS SETTLEMENT', '17/12/19', 'WINS UNITE', '11145209200']",1042.0,Credit,210702.66,False,False
62,19/12,"['POS SETTLEMENT', '18/12/19', 'WINS UNITE', '11143763100']",1047.0,Credit,211749.66,False,False
63,19/12,"['POS SETTLEMENT', '18/12/19', 'WINS UNITE', '11145209200']",298.0,Credit,212047.66,False,False
64,19/12,"['CASH DEPOSIT', 'OCBC-KALLANG WAVE BR', 'SINGAPORE', 'SG']",1000.0,Credit,213047.66,False,False
65,19/12,"['CASH DEPOSIT', 'OCBC-KALLANG WAVE BR', 'SINGAPORE', 'SG']",10000.0,Credit,223047.66,False,False
66,19/12,"['CASH DEPOSIT', 'OCBC-KALLANG WAVE BR', 'SINGAPORE', 'SG']",8167.0,Credit,231214.66,False,False
67,19/12,"['CASH DEPOSIT', 'OCBC-KALLANG WAVE BR', 'SINGAPORE', 'SG']",100.0,Credit,231314.66,False,False
68,19/12,"['CASH DEPOSIT', 'OCBC-KALLANG WAVE BR', 'SINGAPORE', 'SG']",10000.0,Credit,241314.66,False,False
69,19/12,"['CASH DEPOSIT', 'OCBC-KALLANG WAVE BR', 'SINGAPORE', 'SG']",10494.0,Credit,251808.66,False,False
70,19/12,"['IBG GIRO', 'OTHR', 'AMERICAN EXPRESS IN', '980587116743529451']",127.53,Credit,251936.19,False,False
71,20/12,"['POS SETTLEMENT', '19/12/19', 'WINS UNITE', '11143763100']",909.0,Credit,252845.19,False,False
72,20/12,"['POS SETTLEMENT', '19/12/19', 'WINS UNITE', '11145209200']",1738.0,Credit,254583.19,False,False
73,20/12,"['IBG GIRO', 'OTHR', 'ALIPAY SINGAPORE E-', 'C10370000107135']",427.06,Credit,255010.25,False,False
74,20/12,"['IBG GIRO', 'PADD EW2420', 'NETS (S) Pte Ltd', 'F110029863']",576.38,Debit,254433.87,False,False
75,23/12,"['POS SETTLEMENT', '20/12/19', 'WINS UNITE', '11145209200']",2224.0,Credit,256657.87,False,False
76,23/12,"['POS SETTLEMENT', '22/12/19', 'WINS UNITE', '11143763100']",2282.0,Credit,258939.87,False,False
77,23/12,"['POS SETTLEMENT', '21/12/19', 'WINS UNITE', '11143763100']",1806.0,Credit,260745.87,False,False
78,23/12,"['POS SETTLEMENT', '22/12/19', 'WINS UNITE', '11145209200']",2983.0,Credit,263728.87,False,False
79,23/12,"['POS SETTLEMENT', '21/12/19', 'WINS UNITE', '11145209200']",2777.0,Credit,266505.87,False,False
80,23/12,"['POS SETTLEMENT', '20/12/19', 'WINS UNITE', '11143763100']",1219.0,Credit,267724.87,False,False
81,23/12,"['IBG GIRO', 'OTHR', 'AMERICAN EXPRESS IN', '980587116743553032']",299.2,Credit,268024.07,False,False
82,24/12,"['POS SETTLEMENT', '23/12/19', 'WINS UNITE', '11143763100']",972.0,Credit,268996.07,False,False
83,24/12,"['POS SETTLEMENT', '23/12/19', 'WINS UNITE', '11145209200']",1021.0,Credit,270017.07,False,False
84,24/12,"['IBG GIRO', 'OTHR', 'AMERICAN EXPRESS IN', '980587116743579410']",451.26,Credit,270468.33,False,False
85,24/12,['CHEQUE'],28764.06,Debit,241704.27,False,False
86,24/12,['CHEQUE'],116533.22,Debit,125171.05,False,False
87,26/12,"['POS SETTLEMENT', '25/12/19', 'WINS UNITE', '11145209200']",1226.0,Credit,126397.05,False,False
88,26/12,"['POS SETTLEMENT', '24/12/19', 'WINS UNITE', '11143763100']",3045.0,Credit,129442.05,False,False
89,26/12,"['POS SETTLEMENT', '24/12/19', 'WINS UNITE', '11145209200']",2777.0,Credit,132219.05,False,False
90,26/12,"['POS SETTLEMENT', '25/12/19', 'WINS UNITE', '11143763100']",3428.0,Credit,135647.05,False,False
91,26/12,"['CASH DEPOSIT', 'OCBC-KALLANG WAVE BR', 'SINGAPORE', 'SG']",10000.0,Credit,145647.05,False,False
92,26/12,"['CASH DEPOSIT', 'OCBC-KALLANG WAVE BR', 'SINGAPORE', 'SG']",10000.0,Credit,155647.05,False,False
93,26/12,"['CASH DEPOSIT', 'OCBC-KALLANG WAVE BR', 'SINGAPORE', 'SG']",14000.0,Credit,169647.05,False,False
94,26/12,"['CASH DEPOSIT', 'OCBC-KALLANG WAVE BR', 'SINGAPORE', 'SG']",10.0,Credit,169657.05,False,False
95,26/12,"['IBG GIRO', 'OTHR', 'AMERICAN EXPRESS IN', '980587116743589306']",22.56,Credit,169679.61,False,False
96,26/12,"['CHEQUE DEPOSIT', 'DBS BANK']",1600.0,Credit,171279.61,False,False
97,27/12,"['POS SETTLEMENT', '26/12/19', 'WINS UNITE', '11143763100']",350.0,Credit,171629.61,False,False
98,27/12,"['POS SETTLEMENT', '26/12/19', 'WINS UNITE', '11145209200']",862.0,Credit,172491.61,False,False
99,27/12,['CHEQUE'],1319.58,Debit,171172.03,False,False
100,27/12,['CHEQUE'],2640.91,Debit,168531.12,False,False
101,27/12,['CHEQUE'],24884.31,Debit,143646.81,False,False
102,30/12,"['POS SETTLEMENT', '27/12/19', 'WINS UNITE', '11145209200']",1075.0,Credit,144721.81,False,False
103,30/12,"['POS SETTLEMENT', '28/12/19', 'WINS UNITE', '11143763100']",3017.0,Credit,147738.81,False,False
104,30/12,"['POS SETTLEMENT', '29/12/19', 'WINS UNITE', '11145209200']",1505.0,Credit,149243.81,False,False
105,30/12,"['POS SETTLEMENT', '28/12/19', 'WINS UNITE', '11145209200']",3569.0,Credit,152812.81,False,False
106,30/12,"['POS SETTLEMENT', '27/12/19', 'WINS UNITE', '11143763100']",1158.0,Credit,153970.81,False,False
107,30/12,"['POS SETTLEMENT', '29/12/19', 'WINS UNITE', '11143763100']",2756.0,Credit,156726.81,False,False
108,30/12,"['IBG GIRO', 'OTHR', 'AMERICAN EXPRESS IN', '980587116743622557']",106.93,Credit,156833.74,False,False
109,30/12,['CHEQUE'],449.4,Debit,156384.34,False,False
110,30/12,['CHEQUE'],2158.28,Debit,154226.06,False,False
111,30/12,['CHEQUE'],5776.01,Debit,148450.05,False,False
112,30/12,['CHEQUE'],6000.0,Debit,142450.05,False,False
113,30/12,['CHEQUE'],22887.47,Debit,119562.58,False,False
114,31/12,"['POS SETTLEMENT', '30/12/19', 'WINS UNITE', '11145209200']",1303.0,Credit,120865.58,False,False
115,31/12,"['POS SETTLEMENT', '30/12/19', 'WINS UNITE', '11143763100']",1408.0,Credit,122273.58,False,False
116,31/12,['CHEQUE'],1620.0,Debit,120653.58,False,False
117,31/12,['TRANS CHARGE'],12.0,Debit,120641.58,False,False
118,,['BALANCE C/F'],,,120641.58,False,False
119,,['Total Withdrawals'],,,231802.84,False,False
120,,['Total Deposits'],,,227877.09,False,False
