,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,16931.11,False,False
1,02/09,['CHEQUE'],1926.0,Debit,15005.11,False,False
2,03/09,['CHEQUE'],184.51,Debit,14820.6,False,False
3,07/09,"['CASH WITHDRAWAL ATM', '2-8 153 OCBC-FP 628 SENJA', 'RD']",980.0,Debit,13840.6,False,False
4,07/09,"['CASH WITHDRAWAL ATM', '2%-8153 OCBC-FP 628 SENJA', 'RD']",950.0,Debit,12890.6,False,False
5,,"['DEBIT PURCHASE', '07/09/19', '30-8153 CALTEX - WHITLEY']",51.6,Debit,12839.0,False,False
6,,"['000056', 'MAYBANK SG LTD']",27000.0,Credit,39839.0,False,False
7,,"['POS PURCHASE NETS', 'AXS PTE LT', '2-8153 AXS']",3000.0,Debit,36839.0,False,False
8,11/09,"['341.36', 'AXS PTELT', '20-8153 AXS']",341.36,Debit,36497.64,False,False
9,11/09,['CHEQUE'],856.0,Debit,35641.64,False,False
10,11/09,['CHEQUE'],885.96,Debit,34755.68,False,False
11,12/09,"['530.00', '2%-8153 OCBC-FP 628 SENJA', 'RD']",530.0,Debit,34225.68,False,False
12,12/09,['CHEQUE'],35.35,Debit,34190.33,False,False
13,12/09,['001582'],18000.0,Debit,16190.33,False,False
14,14/09,"['DEBIT PURCHASE', '13/0919', '3-8 153 CALTEX - WHITLEY']",51.6,Debit,16138.73,False,False
15,17/09,"['DEBIT PURCHASE', '16/09/19', 'x%-8153 CALTEX - WHITLEY']",34.4,Debit,16104.33,False,False
16,17/09,"['CASH WITHDRAWAL ATM', '20-8153 OCBC-FP 628 SENJA', 'Please tum over...']",980.0,Debit,15124.33,False,False
17,18/09,"['CASH REBATE', 'CASH REBATE']",0.69,Credit,15125.02,False,False
18,18/09,"['CASH WITHDRAWAL ATM', '»%+8153 OCBC-FP 628 SENJA', 'RD']",710.0,Debit,14415.02,False,False
19,19/09,"['DEBIT PURCHASE', '18/09/19', 'X%-8153 CALTEX - BINJAI', 'PARK', 'Ss']",43.0,Debit,14372.02,False,False
20,19/09,"['POS PURCHASE NETS', 'AXS PTELT', 'xx-8153 AXS']",99.05,Debit,14272.97,False,False
21,20/09,"['DEBIT PURCHASE', '16/09/19', 'xx-8153 CALTEX JLN A', 'IBRAHIM', 'SIN']",45.5,Debit,14227.47,False,False
22,20/09,['CHEQUE'],2140.0,Debit,12087.47,False,False
23,20/09,['CHEQUE'],2140.0,Debit,9947.47,False,False
