,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['Cheque Ft'],2.91,,,False,False
1,,['BALANCE B/F'],,,10193.21,False,False
2,01/05,"['CASHDEPOSIT CDM', 'OCBC-PEOPLE’S PARK CTR', 'SINGAPORE SG']",2000.0,Credit,12193.21,False,False
3,02/05,"['FUND TRANSFER', 'CT0015753519', '20190502CREDIT']",7700.0,Debit,4493.21,False,False
4,06/05,"['1,400.00', 'T0015777500', '20190506CREDIT']",1400.0,Debit,3093.21,False,False
5,,"['CHEQUE DEPOSIT', 'DBS BANK']",128.34,Credit,3221.55,False,False
6,06/05,"['CHEQUE DEPOSIT', 'DBS BANK']",5980.0,Credit,9201.55,False,False
7,06/05,"['CHEQUE DEPOSIT', 'DBS BANK']",750.0,Credit,9951.55,False,False
8,06/05,"['CHEQUE DEPOSIT', 'DBS BANK']",750.0,Credit,10701.55,False,False
9,07/05,"['FUND TRANSFER', 'CT0015783754', 'SGIT190507594468']",3000.0,Debit,7701.55,False,False
10,07/05,"['CASH DEPOSIT CDM', 'OCBC-PEOPLE’S PARK CTR', 'SINGAPORE SG']",10000.0,Credit,17701.55,False,False
11,07/05,"['CASH DEPOSIT CDM', ""OCBC-PEOPLE'S PARK CTR"", 'SINGAPORE SG']",8800.0,Credit,24301.85,False,True
12,07/05,['CHEQUE'],2233.5,Debit,22068.45,False,True
13,08/05,"['FUND TRANSFER', '70015793420', '20190508CEBU']",1000.0,Debit,21068.65,False,True
14,08/05,"['FUND TRANSFER', '70015793497', '20190508D8S']",5000.0,Debit,16068.05,False,True
15,,"['FUND TRANSFER', 'CT0018793568', '20190508DBS']",2000.0,Debit,14068.05,False,False
16,,"['CHEQUE DEPOSIT', 'BANK OF INDIA']",4075.5,Credit,18143.55,False,False
17,09/05,"['FUND TRANSFER', '70015806322', 'Nd 1S', 'Ae', 'fu\\ .', 'Please tum over,,.']",2322.39,Debit,15821.16,False,False
18,13/05,['CHEQUE'],4894.0,Debit,10927.16,False,False
19,,"['PAYMENT/TRANSFER', 'OTHR', 'SUPINA', 'Mt Kailash Trip Bal Pymt', 'Inv 716']",3980.0,Credit,14907.16,False,False
