,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,26556.9,False,False
1,31/03,"['CASHDEPOSIT cpm', 'Se', 'OCBC-FP CHINATOWN PT', 'SINGAPORE 8G']",477.0,Credit,27033.9,False,False
2,01/04,"['POS SETTLEMENT', '30/03/19', 'NATURAL WI', '11149143900']",237.5,Credit,27271.4,False,False
3,01/04,"['3103s', 'NATURAL Wi', '11149143900']",240.0,Credit,27511.4,False,False
4,01/04,"['POS SETTLEMENT', '3103/g', 'NATURAL Wi', '11151274700', '3103/19', 'NATURAL WI', '11149963400']",1140.0,Credit,28651.4,False,False
5,01/04,"['POS SETTLEMENT', 'moe,', '29/03/19', 'NATURAL WI', '11181274700']",320.0,Credit,29131.4,False,True
6,01/04,"['POS SETTLEMENT', '2omarig', 'NATURAL WI!', '41149143900']",477.5,Credit,29608.9,False,False
7,01/04,"['POS SETTLEMENT', '30/03/19', 'NATURAL Wi', '11451274700']",1200.0,Credit,30808.8,False,True
8,,"['CASHDEPOSIT CDM’', 'OCBC-FP DAWSON PLACE', 'SINGAPORE SG', 'p iD:', '368']",80.6,Credit,30888.9,False,True
9,01/04,"['CASHDEPOSIT CDM', 'OCBC-NEX BRANCH', 'SINGAPORE SG']",780.0,Credit,31568.9,False,True
10,01/04,"['IBG GIRO.', 'NETS (S) PTE LTD', '327231726534']",77.43,Credit,31748.33,False,True
11,01/04,"['IB GIRO', 'OTHR', 'NETS (S) PTELTD', '328231722400']",542.03,Credit,32288.38,False,True
12,01/04,"['329231907282', 'OTHR']",,,,,True
13,,['CHEQUE'],15.29,,32350.5,False,False
14,01/04,['CHEQUE'],2461.0,Debit,29889.5,False,False
15,,"['CASHDEPOSIT CDM', 'OCBC-HOUGANG BRANCH', 'SINGAPORE SG']",980.0,Credit,30869.5,False,False
16,02/04,"['POS SETTLEMENT', 'o1ane', 'NATURAL Wi', '11151274700']",240.0,Credit,31109.5,False,False
17,,"['POS SETTLEMENT', 'ovo4ne', 'NATURAL WI', '11151404800']",800.0,Credit,31909.5,False,False
18,,"['POS SETTLEMENT', 'a1/04n19', 'NATURAL Wi', '11149363400']",240.0,Credit,32149.5,False,False
19,02/04,"['CREDIT ADVICE', 'OCBC MERCHANT BIZ', '90384171 (MID)', 'MERCHANT PAYMENT']",468.0,Credit,32617.5,False,False
20,02/04,"['FAST PAYMENT', 'OTHR NATURAL WILD H', 'FUNDS TRANSFER', '‘SG3P 190402681693']",5000.0,Debit,27617.5,False,False
21,02/04,"['FAST PAYMENT', 'SALA FLORENCE HOO!', 'SG3P190304581891', 'SALICOMM-MAR19']",2487.2,Debit,25130.3,False,False
22,02/04,"['FAST PAYMENT', 'SALA GOH AH LAI EST', '§G3P190304581891', 'SAL/COMM-MAR19']",2954.9,Debit,22175.4,False,False
23,02/04,['CHEQUE'],155.37,Debit,22020.03,False,False
24,,['CHEQUE'],1610.0,Debit,20410.03,False,False
25,02/04,['CHEQUE'],3176.89,Debit,17.23,False,True
26,03/04,"['POS SETTLEMENT', '02/0419', 'NATURAL Wi', '11151274700']",300.0,Credit,17533.14,False,True
27,03/04,"['POS SETTLEMENT', 'o2nana', 'NATURAL WI', '11181404800']",440.0,Credit,17973.14,False,False
28,03/04,"['POS SETTLEMENT', '020419', 'NATURAL WI', '11148363400']",240.0,Credit,18213.14,False,False
29,03/04,"['BG GIRO', 'OTHR', 'NETS (S) PTELTD', '331231720046']",1837.09,Credit,20050.23,False,False
30,03/04,"['4,311.02', 'OTHR', 'NETS (8) PTE LTD', '330231950737']",1311.92,Credit,21351.25,False,True
31,03/04,"['CASH DEPOSIT CDM', 'OCBC-FP CHINATOWN PT', 'SINGAPORE SG']",50.0,Credit,21411.25,False,True
32,,"['POS SETTLEMENT', 'o3/n4ri9', 'NATURAL Wt', '11181274700']",480.9,Credit,21891.25,False,True
33,04/04,"['POS SETTLEMENT', '03/04/19', 'NATURAL WI', '11451404800']",880.0,Credit,22851.25,False,True
34,04/04,"['FAST PAYMENT', 'SALA HONG YAM MUt D', '8G3P190304581891', 'SALICOMV-MAR19']",2355.84,Debit,20495.41,False,False
35,,"['FAST PAYMENT', 'SALA XIAO FANG', 'SG9P190304581840', 'RNGDSSGNBOME5E']",3442.35,Debit,17053.06,False,False
36,04/04,"['FAST PAYMENT', 'OTHR ALFRO PTE LTD', 'FUNDS TRSF', 'SGaP 190404688978']",2500.0,Debit,14553.06,False,False
37,04/04,"['IBG GIRO', 'OTHR', '""NETS (8) PTELTD', '401231722991']",387.16,Credit,14840.22,False,True
38,04/04,"['CHARGES', '9000001022633245', 'Txn Charges Billing', 'Billing Statement', '0000001022833245']",38.0,Credit,14902.22,False,True
39,05/04,"['POS SETTLEMENT', 'oaoaris', 'NATURAL WI', '11181274700']",237.0,Credit,15139.22,False,False
40,,"['POS SETTLEMENT', 'o404n19', 'NATURAL WI', '11161404800']",560.0,Credit,15699.22,False,False
41,,"['CASHDEPOSIT CDM', 'OCBC-FP DAWSON PLACE', 'SINGAPORE SG']",520.0,Credit,16219.22,False,False
42,,"['160.00', 'OCBC-FP DAWSON PLACE', 'SINGAPORE SG']",160.9,Credit,16379.22,False,True
43,05/04,"['IBG GIRO', 'OTHR', 'NETS (S) PTE LTD', '402231717805']",77.43,Credit,16456.65,False,False
44,,['CHEQUE'],59.38,Debit,16397.27,False,False
45,,"['CREDIT ADVICE', 'OCEC MERCHANT BIZ', '90384171 (MID)', 'MERCHANT PAYMENT']",234.0,Credit,16631.27,False,False
46,06/04,"['CASHDEPOSIT CDM', 'OCBC-NEX BRANCH', 'SINGAPORE SG']",240.0,Credit,16871.27,False,False
47,,['CREDIT ADVICE'],819.0,Credit,17690.27,False,False
48,,"['O8APR', 'OCBC-FP CHINATOWN PT', 'SINGAPORE SG']",80.0,,,False,True
49,08/04,"['POS SETTLEMENT', '07/04/19', 'NATURAL Wi', '11149143900']",240.0,,18010.27,False,False
50,,"['POS SETTLEMENT', '08/04/19', 'NATURAL WI', '11151404800']",720.0,Credit,18730.27,False,False
51,08/04,"['POS SETTLEMENT', 'o7/a4i19', 'NATURAL WI', '11151274700']",1560.0,Credit,20290.27,False,False
52,08/04,"['POS SETTLEMENT', 'oB/0419', 'NATURAL WI', '11149363400']",320.0,Credit,20610.27,False,False
53,,"['POS SETTLEMENT', 'os0aiig', 'NATURAL Wi', '14149143900']",560.0,Credit,21170.27,False,False
54,08/04,"['POS SETTLEMENT', 'o74ng', 'NATURAL WI', '41151404800']",240.0,Credit,21410.27,False,False
55,08/04,"['POS SETTLEMENT', '06/04/19', 'NATURAL Wi', '11151274700']",520.0,Credit,21930.27,False,False
56,,"['CASHDEPOSIT CDM', 'OCBC-NEX BRANCH', 'SINGAPORE SG']",240.0,Credit,22170.27,False,False
57,,"['CHEQUE DEPOSIT', 'DBS BANK']",460.7,Credit,22630.97,False,False
58,,"['—IBG GIRO', 'OTHR', 'NETS ($) PTE LTD', 'ANBOSSGNBAWS5E']",461.63,Credit,23092.66,False,True
59,08/04,"['403231717178', 'OTHR']",,,,,True
60,,"['BG GIRC', 'OTHR', 'NETS (8) PTELTD', '405231849260']",774.33,,24641.32,False,False
61,,"['CASHDEPOSIT CDM', 'OCBC-FP CHINATOWN PT', 'SINGAPORE SG']",240.0,Credit,24881.32,False,False
62,09/04,"['-GASHDEPOSIT CDM', 'OCBC-JURONG POINT BR', 'SINGAPORE SG']",560.0,Credit,25441.32,False,False
63,,"['POS SETTLEMENT', '0804/19', 'NATURAL WI', '49151404800']",480.0,Credit,25921.32,False,False
64,09/04,"['POS SETTLEMENT', '08/04/19', 'NATURAL WI', '11149363400']",80.0,Credit,26001.32,False,False
65,09/04,"['CASHDEPOSIT CDM', 'OCBC-NEX BRANCH', 'SINGAPORE SG']",80.0,Credit,26081.32,False,False
66,,"['CASHDEPOSIT CDM', 'OCBC-FP DAWSON PLACE', 'SINGAPORE SG']",320.0,Credit,26401.32,False,False
67,,"['CASHDEPOSIT cDM', 'OCBC-FP DAWSON PLACE', 'SINGAPORE SG']",240.0,Credit,26641.32,False,False
68,,"['CASHDEPOSIT CDM', 'OCBC-FP DAWSON PLACE', 'SINGAPORE SG']",60.0,Credit,26701.32,False,False
69,09/04,['CHEQUE'],1500.0,Debit,25201.32,False,False
70,09/04,['CHEQUE'],2782.0,Debit,22419.32,False,False
71,,"['POS SETTLEMENT', 'ogaig', 'NATURAL Wi', '11161274700']",620.0,Credit,23039.32,False,False
72,10/04,"['POS SETTLEMENT', 'ogiadit9', 'NATURAL Wi', '41451404800']",880.0,Credit,23919.32,False,False
73,10/04,"['POS SETTLEMENT', 'agianig', 'NATURAL WI', '11149363400']",80.0,Credit,23999.32,False,False
74,10/04,"['POS SETTLEMENT', 'og/o4ig', 'NATURAL Wi', '11149143900']",239.5,Credit,24238.82,False,False
75,10/04,"['[BGGIRO', 'OTHR', 'NETS (8) PTE LTD', '406231919245']",1200.19,Credit,25439.01,False,False
76,10/04,"['—IBG GIRO', 'OTHR', 'NETS(S)PTELTD', '407231728741']",1897.71,Credit,27136.72,False,True
77,10/04,['CHEQUE'],4169.88,Debit,22966.84,False,False
78,10/04,"['480.00', 'OCBC-HOUGANG BRANCH', 'SINGAPORE SG']",430.0,Debit,23.44,False,True
79,11/04,"['POS SETTLEMENT', '10/04/19', 'NATURAL Wi', '11151274700']",240.0,Credit,23686.84,False,True
80,11/04,"['IEG GIRO', 'OTHR', 'NETS (§) PTE LTD', '408231720771']",464.6,Credit,24151.44,False,False
81,11/04,['461234'],56.14,Debit,24095.3,False,False
82,11/04,['461232'],193.03,Debit,23902.27,False,False
83,11/04,['461226'],228.0,Debit,23674.27,False,False
84,11/04,['CHEQUE'],23369.28,Debit,23269.28,False,True
85,,['461220'],1712.0,Debit,21857.28,False,True
86,12/04,"['POS SETTLEMENT', '11/04/19', 'NATURAL Vwi', '41149143900']",80.0,Debit,21737.28,False,True
87,12/04,"['POS SETTLEMENT', '410419', 'NATURAL WI', '41151274700']",315.0,Credit,22052.28,False,False
88,12/04,"['POS SETTLEMENT', '4104/19', 'NATURAL WI', '41151404800']",560.0,Credit,22612.28,False,False
89,12/04,"['POS SETTLEMENT.', '1110419', 'NATURAL Wi', '41149362400']",80.0,Credit,22692.28,False,False
90,12/04,"['FAST PAYMENT', 'OTHR ALFRO PTE LTD', 'SG3P190325647765,', 'Parl Payment of acct']",12000.0,Debit,10692.28,False,False
91,12/04,"['CASHDEPOSIT CDM', 'OCHC-NEX BRANCH', 'SINGAPORE SG']",160.0,Credit,10852.28,False,False
92,12/04,"['—sIBG GIRO', 'OTHR', 'NETS (S) PTE LTD.', '409231712748']",849.82,Credit,11702.1,False,False
93,13/04,"['CASHDEPOSIT CDM', 'OCBC-FP CHINATOWN PT', 'SINGAPORE SG']",240.0,Credit,11842.1,False,True
94,13/04,"['CASHDEPOSIT CDM', 'OCBC-FP DAWSON PLACE', 'SINGAPORE sG']",80.6,Credit,12022.1,False,True
95,13/04,"['CASHDEPOSIT cbM', 'OCBC-FP DAWSON PLACE', 'SINGAPORE SG']",240.0,Credit,42262.1,False,True
96,13/04,"['CASHDEPOSIT CDM""', 'OCBC-FP DAWSON PLACE', 'SINGAPORE SG']",160.9,Debit,12422.1,False,True
97,13/04,"['-CASHDEPOSIT CDM', 'OCBC-FP DAWSON PLACE', 'SINGAPORE SG']",80.0,Credit,12502.1,False,False
98,13/04,"['CASHDEPOSIT CDM', 'OCBC-FP CHINATOWN PT', 'SINGAPORE SG']",200.0,Credit,12702.1,False,False
99,14/04,"['320.00', 'OCBC-FP CHINATOWN PT', 'SINGAPORE SG', '7']",320.0,Credit,13022.1,False,False
100,15/04,"['POS SETTLEMENT', '140418', 'NATURAL WI', '11149143500']",318.5,Credit,13340.44,False,True
101,15/04,"['POS SETTLEMENT', '13/04/19', 'NATURAL WI', '11181404800']",880.0,Credit,14220.6,False,True
102,15/04,"['15 APR', 'qanoarie', 'NATURAL Wi', '19151274700']",1140.0,Credit,15360.6,False,False
103,,"['POS SETTLEMENT', '12049', 'NATURAL WI', '11181274700']",600.0,Credit,15960.6,False,False
104,16/04,"['POS SETTLEMENT', 'taroarig', 'NATURAL Wi', '11149363400']",240.0,Credit,16200.6,False,False
105,,"['POS SETTLEMENT', '1404119', 'NATURAL Wi', '11151404800']",960.0,Credit,17160.6,False,False
106,15/04,"['POS SETTLEMENT', '43/04/19', 'NATURAL WI', '11181274700']",1260.0,Credit,18420.6,False,False
107,15/04,"['POS SETTLEMENT', '12m04ng', 'NATURAL Wi', '11151404800']",860.9,Credit,19380.6,False,True
108,15/04,"['80.00', 'OCBC-NEX BRANCH', 'SINGAPORE SG']",80.0,Credit,19460.6,False,False
109,15/04,"['[BG GIRO', 'OTHR', 'NETS (S) PTELTD', '410231719168', 'ANBOSSGNBSV552']",232.3,Credit,19692.9,False,False
110,15/04,"['—IBG GIRO', 'OTHR', 'NETS (S) PTELTD', '411231717019']",232.3,Credit,19925.2,False,False
111,15/04,"['12231904668', 'OTHR']",,,,,True
112,15/04,"['CASHDEPOSIT CDM', 'OCBC-FP CHINATOWN PT', 'SINGAPORE 8G']",80.0,,20779.52,False,False
113,,['CHEQUE'],200.0,Debit,20579.52,False,False
114,,['CHEQUE'],228.0,Debit,20351.52,False,False
115,18/04,"['CREDIT ADVICE', 'OCBC MERCHANT BIZ', '90384171 (MID)', 'MERCHANT PAYMENT']",468.0,Credit,20819.62,False,True
116,16/04,"['POS SETTLEMENT', '15/0419', 'NATURAL WI', '11151404800']",320.0,Credit,21139.52,False,True
117,16/04,"['POS SETTLEMENT', '151049', 'NATURAL Wi', '11149363400']",240.0,Credit,21379.52,False,False
118,16/04,"['POS SETTLEMENT', '1504/18', 'NATURAL Wi', '11149143900']",240.0,Credit,21619.52,False,False
119,16/04,"['POS SETTLEMENT.', '150419', 'NATURAL WI', '11181274700']",480.0,Credit,22099.52,False,False
120,16/04,['CHEQUE'],112.96,Debit,21986.56,False,False
121,16/04,['CHEQUE'],480.0,Debit,21506.56,False,False
122,16/04,['CHEQUE'],1121.82,Debit,20384.74,False,False
123,16/04,['CHEQUE'],2568.0,Debit,17816.74,False,False
124,17/04,"['POS SETTLEMENT', '1604/19', 'NATURAL WI', '41151274700']",240.0,Credit,18056.74,False,False
