,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,"['sap', 'ce : Date : : : [ ae : ce', '; EnunIe : a i e : SS : ne a', '- me Deposit. / ae “with ca a al', 'E y : SG0 Balanes =']",0.75,,284000.0,False,False
1,,['BALANCE FROM PREVIOUS STATEMENT'],,,4754.32,False,False
2,15/06,['TF542BQL97-00180'],129860.55,Credit,49235.44,False,True
3,15/06,['TF542BO140-00184'],179703.01,Credit,228938.45,False,False
4,30/06,['INTEREST §J004218931'],628.61,Debit,118971.29,False,True
5,30/06,['CRINTEREST'],0.37,Credit,118971.66,False,False
6,30/06,['DA INTEREST'],230.82,Debit,118740.84,False,False
7,,['Total Withdrawals'],,,424409.51,False,False
8,,['Total Deposits'],,,310422.99,False,False
9,,['CLOSING BALANCE'],,,118740.84,False,False
10,,['BALANCE FROM PREVIOUS STATEMENT'],,,80666.05,True,False
11,27/05,"['SGCP086662201- INSURANCE', 'PREMIUM']",1177.9,Credit,5354.09,False,True
12,29/05,['INTEREST $J004218931'],569.67,Debit,4784.42,False,False
13,30/05,['CRINTEREST'],0.05,Credit,4784.47,False,False
14,30/05,['DR INTEREST'],30.15,Debit,4754.32,False,False
15,,['Total Withdrawals'],,,87197.19,False,False
16,,['Total Deposits'],,,1776.82,False,False
17,,['CLOSING BALANCE'],,,4754.32,False,False
18,,['BALANCE FROM PREVIOUS STATEMENT'],,,1336.47,True,False
19,03/04,['INTEREST $J004218931'],817.89,Credit,62120.08,False,True
20,07/04,['CLEARING CHEQUE 850646'],10700.0,Credit,64682.73,False,True
21,07/04,['CLEARING CHEQUE 850641'],52096.02,Debit,12586.71,False,False
22,07/04,['CLEARING CHEQUE 850645'],9333.6,Debit,3253.11,False,False
23,07/04,['CLEARING GHEQUE 850642'],35631.0,Credit,32377.89,False,False
24,07/04,['CLEARING CHEQUE 850644'],69510.0,Credit,101887.89,False,False
25,08/04,"['INW CHQ RET 22 000123', 'VALUE DATE AS OF 07 APR']",6928.25,Debit,108816.14,True,False
26,08/04,"['9 Apr', 'VALUE DATE AS OF 13 APR']",21966.13,Credit,86850.01,True,False
27,13/04,['CLEARING CHEQUE 850647'],10481.16,Debit,97331.17,True,False
28,13/04,['CLEARING CHEQUE 850649'],3755.8,Credit,101086.97,False,False
29,14/04,['CLEARING CHEQUE 850648'],1444.61,Debit,102531.58,True,False
30,20/04,['TF542BQW39-00001'],436.22,Debit,102967.8,True,False
31,30/04,['INTEREST SJ004218931'],712.3,Credit,80426.91,True,True
32,30/04,['CR INTEREST'],0.14,Credit,80426.77,False,False
33,30/04,['DR INTEREST'],239.28,Credit,80666.05,False,False
34,,['Total Withdrawals'],,,128756.6,False,False
35,,['Total Deposits'],,,202086.18,False,False
36,,['CLOSING BALANCE'],,,80666.05,True,False
37,,"['S@D', 'PS ‘Date', ': 8 : S :', '& a ss S z Be : f : a Se :']",3.75,,276663.53,False,False
38,,['BALANCE FROM PREVIOUS STATEMENT'],,,144592.2,False,False
39,03/03,['INTEREST 8004218931'],803.26,Credit,236779.22,False,True
40,04/03,['TF542BPG17-00192'],123848.95,Debit,112930.27,False,False
41,04/03,['TF542BPG28-00190'],223751.64,Debit,110821.37,False,False
42,04/03,['CLEARING CHEQUE 850628'],4132.5,Credit,114953.87,False,False
43,12/03,['TF542BQP54-00001'],159.46,Credit,221569.29,False,True
44,13/03,['CLEARING CHEQUE 850640'],360000.0,Debit,138430.71,True,False
45,17/03,['18Mar'],6655.4,Credit,41145.63,True,True
46,24/03,['TF542BQR24-00001'],252.6,Credit,7182.84,True,True
47,31/03,['CR INTEREST'],0.48,Credit,7182.36,True,False
48,31/03,['DR INTEREST'],154.11,Credit,7336.47,False,False
49,,['Total Withdrawals'],,,567829.25,False,False
50,,['Total Deposits'],,,719757.92,False,False
51,,['CLOSING BALANCE'],,,7336.47,True,False
52,,['BALANCE FROM PREVIOUS STATEMENT'],,,92434.95,True,False
53,03/02,['INTEREST Su004218931'],858.66,Debit,93293.61,True,False
54,03/02,['CLEARING CHEQUE 850615'],8259.92,Credit,101553.53,False,False
55,04/02,['CLEARING CHEQUE 850632'],80940.67,Debit,182494.2,True,False
56,05/02,['GLEARING CHEQUE 850623'],4836.0,Debit,187330.2,True,False
57,11/02,['CLEARING CHEQUE 850634'],3755.8,Debit,191086.0,True,False
58,17/02,['CLEARING CHEQUE 850633'],1007.9,Credit,40913.21,False,True
59,24/02,['CLEARING CHEQUE 850635'],6513.09,Debit,47426.3,True,False
60,25/02,['TF542BQL40-00001'],254.06,Debit,47680.36,True,False
61,25/02,['CLEARING CHEQUE 850636'],73303.83,Credit,110452.82,False,True
62,25/02,['CLEARING CHEQUE 850637'],7344.48,Credit,117797.3,False,False
63,26/02,['CLEARING CHEQUE 850639'],59665.89,Credit,141511.19,False,True
64,27/02,['TF542BQL97-00001'],192.78,Debit,141703.97,True,False
65,28/02,['CLEARING CHEQUE 850638'],35363.5,Credit,144934.96,False,True
66,29/02,['CR INTEREST'],0.14,Credit,144935.1,False,False
67,29/02,['DR INTEREST'],342.9,Debit,144592.2,False,False
68,,['Total Withdrawals'],,,519666.63,False,False
69,,['Total Deposits'],,,282639.48,False,False
70,,['CLOSING BALANCE'],,,144592.2,False,False
71,,"['sGD', 'FT —, Cl']",3.75,,191565.05,False,False
72,,['BALANCE FROM PREVIOUS STATEMENT'],,,124809.25,True,False
73,03/01,['INTEREST SJ004218931'],858.66,Debit,125667.91,True,False
74,08/01,['TF542BPX50-00001'],257.17,Debit,125925.08,True,False
75,09/01,['CLEARING CHEQUE 850553'],50974.8,Debit,176899.88,True,False
76,13/01,['CLEARING GHEQUE 850563'],45325.53,Credit,130118.1,True,True
77,14/01,['CLEARING CHEQUE 850625'],19097.36,Debit,149215.46,True,False
