,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE FROM PREVIOUS STATEMENT'],,,64017.87,False,False
1,03/02,['CLEARING CHEQUE 772265'],85.6,Debit,63932.27,False,False
2,03/02,['CLEARING CHEQUE 772257'],2749.3,Debit,61182.97,False,False
3,03/02,['GLEARING CHEQUE 772256'],2362.98,Debit,58819.99,False,False
4,03/02,['CLEARING CHEQUE 772302'],520.0,Debit,58299.99,False,False
5,03/02,['ier'],400.0,Debit,57899.99,False,False
6,03/02,['ae eee'],780.0,Debit,57119.99,False,False
7,04/02,['CLEARING CHEQUE 772301'],100.0,Debit,57019.99,False,False
8,06/02,['CLEARING CHEQUE 772297'],486.75,Debit,56533.24,False,False
9,06/02,['CLEARING CHEQUE 772303'],813.42,Debit,55719.82,False,False
10,06/02,['CLEARING CHEQUE 772304'],447.51,Debit,55272.31,False,False
11,07/02,['CLEARING CHEQUE 772308'],355.0,Debit,54917.31,False,False
12,10/02,['CLEARING CHEQUE 772310'],417.0,Credit,60700.31,False,True
13,10/02,['GLEARING GHEQUE 772259'],593.25,Debit,60107.06,False,False
14,10/02,['CLEARING CHEQUE 772309'],365.0,Debit,59742.06,False,False
15,10/02,['CLEARING CHEQUE 772311'],490.0,Debit,59252.06,False,False
16,10/02,['CLEARING CHEQUE 772306'],1657.38,Debit,57594.68,False,False
17,12/02,['CLEARING CHEQUE 772263'],449.6,Debit,57145.08,False,False
18,12/02,['CLEARING CHEQUE 772312'],772.0,Debit,56373.08,False,False
19,12/02,['GLEARING GHEQUE 772313'],284.99,Debit,56088.09,False,False
20,13/02,"['INTERROLL (ASIA) PTE LTD', 'PV2013592', 'IBFTOTHR', 'OCBCSGSGXXx00']",18076.05,Credit,74164.14,False,False
21,13/02,['CLEARING CHEQUE 772254'],731.88,Debit,73432.26,False,False
22,13/02,['CLEARING CHEQUE 772315'],345.0,Debit,73087.26,False,False
23,13/02,['CLEARING CHEQUE 772262'],107.32,Debit,72979.94,False,False
24,13/02,['CLEARING CHEQUE 772314'],335.0,Debit,72644.94,False,False
25,13/02,['CLEARING GHF QUE 772261'],192.6,Debit,72452.34,False,False
26,14/02,['CLEARING CHEQUE 772317'],864.04,Debit,1588.3,False,True
27,14/02,['CLEARING CHEQUE 772316'],520.0,Credit,71068.3,False,True
28,14/02,['CLEARING CHEQUE 772307'],149.8,Debit,70918.5,False,False
29,14/02,['CLEARING CHEQUE 772266'],445.57,Debit,70472.93,False,False
30,17/02,"['SSG1956160000007 1PISSGCARGOA00016', 'HAPAG-LLOYD PTE LTD2530517000', 'IBFTFCPMPI9SGCARGOA00016', 'CUSTOMER NO: 50129940']",375.0,Debit,70097.93,False,False
31,17/02,['CLEARING CHEQUE 772320'],690.0,Debit,69407.93,False,False
32,17/02,['CLEARING CHEQUE 772267'],565.34,Debit,68842.59,False,False
33,18/02,['CLEARING CHEQUE 772323'],470.0,Debit,68372.59,False,False
34,18/02,['CLEARING GHEQUE 772260'],230.01,Debit,68142.58,False,False
35,19/02,['CLEARING CHEQUE 772324'],292.16,Debit,67850.42,False,False
36,19/02,['CLEARING GHEQUE 772305'],550.0,Debit,67300.42,False,False
37,19/02,['CLEARING CHEQUE 772325'],365.0,Debit,66935.42,False,False
38,19/02,['CLEARING CHEQUE 772322'],155.0,Debit,66780.42,False,False
39,19/02,['20Feb'],5000.0,Debit,61780.42,False,False
40,21/02,['CLEARING CHEQUE 772329'],1860.0,Debit,59920.42,False,False
41,24/02,['CLEARING CHEQUE 772340'],400.0,Debit,59520.42,False,False
42,24/02,['CLEARING CHEQUE 772318'],1391.0,Debit,58129.42,False,False
43,24/02,['CLEARING CHEQUE 772339'],490.0,Debit,57639.42,False,False
44,25/02,['CLEARING CHEQUE 772334'],2835.9,Debit,54803.52,False,False
45,25/02,['CLEARING GHEQUE 772327'],2157.2,Debit,52646.32,False,False
46,25/02,['CLEARING GHEQUE 772338'],70.0,Debit,52576.32,False,False
47,26/02,"['SSG19561C0000008 1PISSGCARGOA00018', 'SAMUDERA SHIPPING LINE LTD081419601', 'IBFTFCPMPI9SGCARGOA00018', 'SSI BKSINCAA0588']",345.0,Debit,52231.32,False,False
48,27/02,['CLEARING CHEQUE 772330'],31.19,Credit,53224.67,False,True
49,27/02,['CLEARING CHEQUE 772319'],120.0,Debit,53104.67,False,False
50,27/02,['GLEARING CHEQUE 772335'],452.24,Debit,52652.43,False,False
51,28/02,['CLEARING GHEQUE 772321'],51.7,Debit,52600.73,False,False
52,29/02,['CR INTEREST'],0.86,Credit,52601.59,False,False
53,,['Total Withdrawals'],,,25301.45,False,False
54,,['Total Deposits'],,,36717.73,False,False
55,,['CLOSING BALANCE'],,,52601.59,False,False
