,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE FROM PREVIOUS STATEMENT'],,,628902.29,False,False
1,03/03,"['05Mar', 'VALUE DATE AS OF 06 MAR']",120.0,Credit,629022.29,False,False
2,03/03,['CLEARING CHEQUE 908784'],6272.1,Debit,622811.18,False,True
3,03/03,"['RAS', '4920095P PROPERTY TAK', 'UOVBSGSGXxx00']",402.5,Debit,622408.68,False,False
4,06/03,['CLEARING CHEQUE 908622'],1250.0,Debit,621158.68,False,False
5,06/03,['CLEARING CHEQUE 908671'],2889.0,Debit,618269.68,False,False
6,06/03,"['CLEARING CHEQUE 908735,']",10165.0,Debit,608104.68,False,False
7,07/03,['CASH WITHDRAWAL'],20464.1,Debit,587640.58,False,False
8,07/03,['CLEARING CHEQUE 908793'],3000.0,Debit,584640.58,False,False
9,07/03,['CLEARING CHEQUE 908802'],800.0,Debit,583840.58,False,False
10,07/03,['CLEARING CHEQUE 908799'],224.7,Debit,583615.88,False,False
11,07/03,['CLEARING CHEQUE 908753'],3000.0,Debit,580615.88,False,False
12,07/03,"['o8Mar', '908802', 'OTHERS']",800.0,Credit,581415.88,False,False
13,07/03,"['$$G1794700005798-00001', '$B10501803082491', 'WS IFS CAPITAL LIMITED STS']",46252.0,Credit,627667.88,False,False
14,07/03,"['CPF BOARD', 'OPFB GCL 3729771 628960272001', 'IBFTOTHR', '4 >', 'OCBCSGSGXXxx00']",54.0,Credit,629179.78,False,True
15,07/03,['CLEARING CHEQUE 908797'],184.47,Debit,628995.31,False,False
16,07/03,['o9Mar'],34263.59,Debit,594731.72,False,False
17,07/03,['CHEQUE IMAGE - RETRIEVAL'],30.0,Debit,594701.72,False,False
18,07/03,['CLEARING CHEQUE 908749'],14980.0,Debit,579721.72,False,False
19,07/03,['CLEARING CHEQUE 908779'],10000.9,Debit,569721.72,False,True
20,07/03,['‘CLEARING CHEQUE 908801'],299.6,Debit,569422.12,False,False
21,07/03,['CLEARING CHEQUE 908794'],,,566222.12,False,True
22,07/03,['CLEARING CHEQUE 908806'],939.46,Debit,565282.66,False,False
23,07/03,['CLEARING CHEQUE pasos'],495.41,Debit,564787.25,False,False
