,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE FROM PREVIOUS STATEMENT'],,,7308.47,False,False
1,01/10,['MONTHLY SERVICE FEE'],2.0,Debit,7306.47,False,False
2,02/10,"['1110501910024200', 'CELESTICA MALAYSIA SDN, BHD.']",15998.59,Credit,23305.06,False,False
3,03/10,"['1110501910037760', 'ADVANCED MANUFACTURING CORP (PENANG']",22266.0,Credit,45571.06,False,False
4,04/10,"['1740501910042752', 'PCI PRIVATE LIMITED']",226.84,Credit,45797.9,False,False
5,07/10,"['BULK CHEQUE DEPOSIT (USD)', '660180050', '15011660180050 00000747']",2606.84,Credit,48404.74,False,False
6,08/10,"['SSG00655C0002993-00001', 'NIE191004', 'STS']",14100.0,Debit,34304.74,False,False
7,09/10,"['$8G00555C0002992-00001', 'NIE191003.', 'STS']",18200.0,Debit,16104.74,False,False
8,09/10,"['§SG00558C0002991-00001', 'NIE191002', 'sTs']",4384.0,Debit,11720.74,False,False
9,16/10,"['BULK CHEQUE DEPOSIT (USD)', '660260010', '1507 1660260010 00006751']",3364.08,Credit,15084.82,False,False
10,16/10,"['BULK CHEQUE DEPOSIT (USD)', '660260030', '15011660260030 00006784']",154.08,Credit,15238.9,False,False
11,16/10,"['BULK CHEQUE DEPOSIT (USD)', '660260050', '1601 1660260050 00012862']",359.52,Credit,15598.42,False,False
12,16/10,"['BULK CHEQUE DEPOSIT (USD)', '660460050', '1501 1660460050 00016094']",5159.01,Credit,20757.43,False,False
13,23/10,"['MIZUHO CORP 846655 (USD)', '660050030', '1501 1660050030 00015482']",598.34,Credit,21355.77,False,False
14,29/10,"['$8G00555C0002996-00001', 'NIE191004', 'sTs']",18200.0,Debit,3155.77,False,False
15,30/10,"['1T10501910304977', 'ADVANCED MANUFACTURING CORP']",22266.0,Credit,25421.77,False,False
16,,['Total Withdrawals'],,,72999.3,False,False
17,,['Total Deposits'],,,54886.0,False,False
18,,['CLOSING BALANCE'],,,25421.77,False,False
19,,['BALANCE FROM PREVIOUS STATEMENT'],,,25421.77,False,False
20,01/11,['MONTHLY SERVICE FEE'],2.0,Debit,25419.77,False,False
21,01/11,"['$SG00555C0002997-60001', 'NIE191005', 'sTs']",832.9,Debit,24586.87,False,False
22,01/11,"['1T19501911013897', 'CELESTICA MALAYSIA SDN, BHD.']",12140.57,Credit,36727.44,False,False
23,01/11,"['G4Nov', 'NIE191101', 'STS']",3337.9,Debit,33389.54,False,False
24,01/11,"['171050191 1046065', 'NIE COMPONENTS SDN BHD']",21901.37,Credit,55290.91,False,False
25,06/11,"['BULK CHEQUE DEPOSIT (USD)', '660200010', '1501 1660200010 00009355']",3414.6,Credit,58705.51,False,False
26,06/11,"['BULK CHEQUE DEPOSIT (USD)', '660200030', '1601 1660200030 00009398']",790.3,Credit,59495.81,False,False
27,07/11,"['SSGOD555C0002999-00001', 'NIE191101', 'sTs']",21840.0,Debit,37655.81,False,False
28,07/11,"['BULK CHEQUE DEPOSIT (USD)', '660160030', '1501 1660160030 00013804']",5209.83,Credit,42865.64,False,False
29,07/11,"['O8Nov', 'PCI PRIVATE LIMITED']",884.67,Credit,43750.31,False,False
30,07/11,"['13Nov', 'NIE191104', 'STS']",8317.86,Debit,35432.45,False,False
