,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,6791.1,False,False
1,01/11,"['Returned Cheque', 'OCBC 000340']",4173.0,Debit,2618.1,False,False
2,01/11,"['Misc CR-Debit Card', '30 OCT 8858', 'UOB Cash Rebate']",3.55,Credit,2621.65,False,False
3,01/11,"['Misc DR-Debit Card', '31 OCT 8858 0502574', 'C7537832 HDB SEASON PARKING', '53783']",90.0,Debit,2531.65,False,False
4,01/11,"['Misc DR-Debit Card', '31 OCT 8858 0502582', 'C7537878 HDB SEASON PARKING', '53787']",120.0,Debit,2411.65,False,False
5,01/11,"['Cash Withdrawal-ATM', '5592212010168858']",1000.0,Debit,1411.65,False,False
6,01/11,"['Cheque Withdrawal', '0852371']",281.41,Debit,1130.24,False,False
7,02/11,"['Cash Withdrawal-ATM', '5592212010168858']",500.0,Debit,630.24,False,False
8,02/11,"['Misc DR-Debit Card', '31 OCT 8858 5161425', 'AXS PTE LTD', 'SINGAPORE SG']",200.0,Debit,430.24,False,False
9,04/11,"['Funds Transfer', 'iBK-CHI KEONG']",4708.0,Credit,5138.24,False,False
10,04/11,"['Funds Transfer-ATM', '5592212010168858', 'TO 9463407335']",1000.0,Debit,4138.24,False,False
11,04/11,"['Cheque Withdrawal', '0852382']",1337.0,Debit,2801.24,False,False
12,05/11,"['Funds Transfer', 'mBK-Transfer']",150.0,Credit,2951.24,False,False
13,05/11,"['Cheque Withdrawal', '0852368']",119.59,Debit,2831.65,False,False
14,05/11,"['Cheque Withdrawal', '0852381']",256.11,Debit,2575.54,False,False
15,06/11,"['Inward CR - GIRO', 'OTHR Other', ""L'OPERA GROUP PTE. L"", '14747/19/CS']",877.4,Credit,3452.94,False,False
16,06/11,['Cheque Deposit'],1610.35,Credit,5063.29,False,False
17,06/11,['Cheque Deposit'],7501.2,Credit,12564.49,False,False
