,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,34589.69,False,False
1,02/03,"['Inward DR - GIRO', 'COLL 80000045', 'FPRM P/L - TRUST A/C', '0360009804NTUC20200225']",372.78,Debit,34216.91,False,False
2,02/03,"['Inward DR - GIRO', 'COLL 80000045', 'FPRM P/L - TRUST A/C', '0360009805NTUC20200225']",911.22,Debit,33305.69,False,False
3,02/03,"['Cheque Withdrawal', '0294083']",7511.4,Debit,25794.29,False,False
4,02/03,"['Cheque Withdrawal', '0294093']",1125.47,Debit,24668.82,False,False
5,02/03,"['Cheque Withdrawal', '0294094']",802.5,Debit,23866.32,False,False
6,03/03,"['Bulk Cash', '128 9916891']",10000.0,Credit,33866.32,False,False
7,04/03,"['Cheque Withdrawal', '0294106']",1498.0,Debit,32368.32,False,False
8,04/03,"['Cheque Withdrawal', '0294114']",1358.92,Debit,31009.4,False,False
9,05/03,"['Inward CR - GIRO', 'OTHR Other', 'MOM', 'SEC 201724048H-PTE-01 20021']",462.0,Credit,31471.4,False,False
10,06/03,"['Inward DR - GIRO', 'COLL C3280406', 'SPH REIT DBST S/A (R', '11471']",59.43,Debit,31411.97,False,False
11,06/03,"['Misc Debit', 'PMRBULKCASH/0220', 'PMRSG29022020013364', 'BULK CASH SERVICE']",50.0,Debit,31361.97,False,False
12,06/03,"['Cheque Withdrawal', '0294105']",2889.0,Debit,28472.97,False,False
13,06/03,"['Cheque Withdrawal', '0294107']",4494.0,Debit,23978.97,False,False
14,06/03,"['Cheque Withdrawal', '0294113']",56.73,Debit,23922.24,False,False
15,06/03,"['Bulk Cash', '128 9871420']",10000.0,Credit,33922.24,False,False
16,09/03,"['Inward DR - GIRO', 'COLL iFRESH', 'CENTURY SQUARE HOLD!', 'LC/CSBRANCH/1908/0002']",3210.0,Debit,30712.24,False,False
17,09/03,"['Inward DR - GIRO', 'RENT 200000149', 'DOLLAR LAND SINGAPOR', 'Mar20']",2140.0,Debit,28572.24,False,False
18,09/03,"['Cheque Withdrawal', '0294108']",642.0,Debit,27930.24,False,False
19,10/03,"['Cheque Withdrawal', '0294109']",535.0,Debit,27395.24,False,False
20,10/03,"['Cheque Withdrawal', '0294111']",214.0,Debit,27181.24,False,False
