,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,51052.81,False,False
1,02/09,"['Inward Credit-FAST', 'OTHR Other', 'GPAY NETWORK (S) PT']",932.8,Credit,51985.61,False,False
2,02/09,"['CR Retail-NETS', '31AUG', '11168627900']",54.3,Credit,52039.91,False,False
3,02/09,"['CR Retail-NETS', '31AUG', '11168691500']",2778.6,Credit,54818.51,False,False
4,02/09,"['CR Retail-NETS', '31AUG', '11168691600']",804.4,Credit,55622.91,False,False
5,02/09,"['CR Retail-NETS', '31AUG', '11169178900']",3371.1,Credit,58994.01,False,False
6,02/09,['Cash 0771361'],10000.0,Debit,48994.01,False,False
7,02/09,"['CR Retail-NETS', 'O1SEP', '11168691500']",2306.6,Credit,51300.61,False,False
8,02/09,"['CR Retail-NETS', 'O1SEP', '11168691600']",112.2,Credit,51412.81,False,False
9,02/09,"['Inward Credit-FAST', 'OTHR Other', 'GPAY NETWORK (S) PT']",237.1,Credit,51649.91,False,False
10,02/09,"['CR Retail-NETS', '01SEP', '11169178900']",2709.0,Credit,54358.91,False,False
11,02/09,"['CR Retail-NETS', 'O1SEP', '11168627900']",28.0,Credit,54386.91,False,False
12,02/09,"['CR Retail-NETS', 'O1SEP', '11168691500']",3320.25,Credit,57707.16,False,False
13,02/09,"['CR Retail-NETS', 'O1SEP', '11168691600']",436.0,Credit,58143.16,False,False
14,02/09,"['Bulk - GIRO', 'ROS08285', 'PAYROLL']",18200.0,Debit,39943.16,False,False
15,02/09,"['SVC Chg', 'ROS08285', 'PAYROLL']",0.6,Debit,39942.56,False,False
16,02/09,"['CR Retail-NETS', 'O2SEP', '11168691500']",1394.9,Credit,41337.46,False,False
17,02/09,"['CR Retail-NETS', 'O2SEP', '11168691600']",30.4,Credit,41367.86,False,False
18,02/09,"['Bulk - GIRO', 'GEB19080055579698', 'BK18060030848958', 'PAYROLL']",4200.0,Debit,37167.86,False,False
19,02/09,"['SVC Chg', 'GEB19080055579698', 'BK18060030848958', 'PAYROLL']",0.4,Debit,37167.46,False,False
20,02/09,"['Inward DR - GIRO', 'OTHR C-S-000085', 'RESORTS CONCEPT PL', 'EH TENANT']",13969.92,Debit,23197.54,False,False
21,02/09,"['Cheque Withdrawal', '0771360']",2336.7,Debit,20860.84,False,False
22,03/09,"['Inward Credit-FAST', 'OTHR Other', 'GPAY NETWORK (S) PT']",379.3,Credit,21240.14,False,False
23,03/09,"['CR Retail-NETS', '02SEP', '11168691500']",992.35,Credit,22232.49,False,False
