,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,665873.33,False,False
1,01/08,['Cash 0812043'],3523.3,Debit,662350.03,False,False
2,01/08,['Cash 0812040'],1200.0,Debit,661150.03,False,False
3,01/08,['Cheque Deposit'],13896.1,Credit,675046.13,False,False
4,01/08,"['Cheque Withdrawal', '0812025']",4911.3,Credit,870134.83,False,True
5,01/08,"['Cheque Withdrawal', '0812026']",1014.5,Debit,669120.33,False,True
6,01/08,"['Cheque Withdrawal', '0812027']",1090.0,Debit,668030.33,False,False
7,01/08,"['Cheque Withdrawal', '0812028']",1442.4,Debit,666587.93,False,False
8,01/08,"['Cheque Withdrawal', '0812029']",536.0,Debit,666051.93,False,False
9,01/08,"['Cheque Withdrawal', '0812030']",1157.0,Debit,664894.93,False,False
10,01/08,"['Cheque Withdrawal', '0812031']",1256.0,Debit,663638.93,False,False
11,01/08,"['Cheque Withdrawal', '0812033']",2400.0,Debit,661238.93,False,False
12,01/08,"['Cheque Withdrawal', '0812034']",1164.0,Debit,660074.93,False,False
13,01/08,"['Cheque Withdrawal', '0812035']",1116.0,Debit,658958.93,False,False
14,01/08,"['Cheque Withdrawal', '0812036', '0812037']",1228.0,Debit,657730.93,False,False
15,07/08,"['Cheque Withdrawal', '0812038']",1282.95,Debit,654940.88,False,True
16,01/08,"['Cheque Withdrawal', '0812039']",1300.0,Debit,653640.88,False,False
17,03/08,['Cash 0812042'],1860.0,Debit,651871.88,False,True
18,05/08,"['Cheque Withdrawal', '0812044']",19371.82,Debit,632300.06,False,True
19,06/08,['Cheque Deposit'],10000.0,Credit,642300.06,False,False
20,06/08,['Cheque Deposit'],2439.6,Credit,644739.66,False,False
21,06/08,['Cheque Deposit'],134708.22,Credit,779447.88,False,False
22,06/08,"['Cheque Withdrawal', '0812047']",3001.0,Debit,776446.88,False,False
23,,"['Page 3 of 7 BizTransact 396-300-906-0 (continued) Date', '0812049']",15000.0,Debit,761446.88,False,False
24,06/08,"['Cheque Withdrawal', '0812052']",6420.0,Debit,755026.88,False,False
25,07/08,"['Returned Cheque', 'DBS 300978']",10000.0,Debit,745026.88,False,False
26,08/08,"['SERV CHARGE', '10R908083304C01', 'NONE', 'YONG HUI ENGINEERING SDN BHD']",110.0,Debit,744916.88,False,False
27,08/08,"['FUNDS TRF - TT', '10R908083304C01', 'NONE', 'YONG HUI ENGINEERING SDN BHD']",148625.67,Debit,596291.21,False,False
28,08/08,"['Cheque Withdrawal', '0812046']",2609.0,Debit,593682.21,False,False
29,08/08,"['Cheque Withdrawal', '0812050']",300.0,Debit,593382.21,False,False
30,08/08,"['Cheque Withdrawal', '0812060']",6589.06,Debit,586793.15,False,False
31,13/08,"['Cheque Deposit', '0812045']",8346.0,Debit,585139.15,False,True
32,13/08,"['Cheque Withdrawal', '0812048']",3878.57,Credit,587975.61,False,True
33,13/08,"['Cheque Withdrawal', '0812051']",299.6,Debit,586776.01,False,True
34,13/08,"['Cheque Withdrawal', '0812053']",240.0,Debit,586536.01,False,False
35,13/08,"['Cheque Withdrawal', '0812054']",829.25,Debit,585706.76,False,False
36,13/08,"['Cheque Withdrawal', '0812058']",770.4,Debit,584936.36,False,False
37,14/08,"['Inward CR - GIRO', 'OTHR Other', 'GREYFORM PTE LTD', 'Mould 8 Engineering M&/INV/2104/201']",3124.4,Credit,588060.76,False,False
38,14/08,"['Inward DR - GIRO', 'COLL 200701057Z', 'CPF', 'BIZ']",7265.5,Debit,580795.26,False,False
39,14/08,"['Cheque Withdrawal', '0812055']",173.34,Debit,580621.92,False,False
40,14/08,"['Cheque Withdrawal', '0812056']",12158.95,Debit,568462.97,False,False
41,14/08,"['Cheque Withdrawal', '0812057']",658.05,Debit,567804.92,False,False
42,14/08,"['Cheque Withdrawal', '0812059']",2479.73,Debit,565325.19,False,False
43,15/08,"['Inward DR - GIRO.', 'GSTX 200701057Z', 'IRAS', 'GST']",74022.85,Debit,491302.34,False,False
44,15/08,"['Inward DR - GIRO', 'COLL 515137813', 'M1 LIMITED', '515137813']",157.59,Debit,491144.75,False,False
45,15/08,"['Inward DR - GIRO', 'COLL 162014120995', 'INDEX CREDIT PTE LTD', '(C2014120995']",1259.0,Debit,489885.75,False,False
46,16/08,"['Inward CR - GIRO', 'OTHR Other', 'INTEGRATED PRECAST S', 'P000000218;PROJ G C09: YSN3C26 CO3']",158623.53,Credit,648509.28,False,False
47,19/08,"['Inward DR - GIRO', 'OTHR 6123821', 'WPD MOM / AG', 'MOM-WPD']",105.0,Debit,648404.28,False,False
48,19/08,"['Inward DR - GIRO', 'COLL 2007010572', 'CPF', 'BFWL']",10730.0,Debit,637674.28,False,False
49,20/08,"['Cheque Withdrawal', '0812067']",500.0,Debit,637174.28,False,False
50,21/08,['Cheque Deposit'],324.37,Credit,637498.65,False,False
51,21/08,['Cheque Deposit'],3210.0,Credit,640708.65,False,False
