,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,35615.06,False,False
1,01/10,"['Cheque Withdrawal', '0218200']",2000.0,Debit,33615.06,False,False
2,01/10,"['Cheque Withdrawal', '0218204']",110.05,Debit,33505.01,False,False
3,02/10,"['Inward DR - GIRO', 'COLL HSA03010', 'Health Sciences Auth', '1900421624']",300.0,Debit,33205.01,False,False
4,02/10,"['Cheque Withdrawal', '0218192']",1198.94,Debit,32006.07,False,False
5,03/10,"['Cheque Deposit', '0218198']",69.3,Credit,32075.37,False,False
6,04/10,"['Cheque Withdrawal', '0218205']",1600.0,Credit,32450.64,False,True
7,04/10,"['Bulk Cash', '163 B657033']",8614.3,Credit,41064.94,False,False
8,05/10,"['Misc Debit', 'PMRBULKCASH/0919', 'PMRSG3009201 9012647', 'BULK CASH SERVICE']",50.0,Debit,41014.94,False,False
9,07/10,"['Cash 0218206', '0218208']",2600.0,Debit,38414.94,False,False
10,07/10,"['Cheque Withdrawal', '0218209']",205.44,Debit,37209.5,False,True
11,08/10,"['Bulk Cash', '163 B657035']",7909.0,Credit,45118.5,False,False
12,09/10,"['Inward CR - GIRO', 'OTHR Other', 'CARLSBERG SINGAPORE', '2001416560001']",4440.57,Credit,49559.07,False,False
13,09/10,"['Cheque Withdrawal', '0218202']",916.64,Debit,48642.43,False,False
14,09/10,"['Cheque Withdrawal', '0218207']",930.44,Debit,47711.99,False,False
15,09/10,"['Bulk Cash', '163 B811610']",4354.4,Credit,52066.39,False,False
16,14/10,"['Cheque Withdrawal', '0218201']",939.22,Debit,51127.17,False,False
17,14/10,"['Cheque Withdrawal', '0218203']",688.08,Debit,50439.09,False,False
18,14/10,"['Cheque Withdrawal', '0218212']",15000.0,Debit,35439.09,False,False
19,14/10,"['Bulk Cash', '163 B811611']",5870.5,Credit,41309.59,False,False
20,15/10,"['Cheque Withdrawal', '0218226']",2000.0,Debit,39309.59,False,False
