,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,29852.9,False,False
1,05/08,"['Cheque Deposit', 'PM18080700322239', 'MR SUBBIAH NAVANEET', 'SALA S PASS']",428.0,Credit,30280.9,False,False
2,05/08,"['SVC Chg', 'PM18080700322239', 'MR SUBBIAH NAVANEET', 'SALA S PASS']",1.0,Credit,46993.4,False,True
3,05/08,"['Cheque Withdrawal', '0984866']",243.14,Debit,46750.26,False,False
4,05/08,"['Cheque Withdrawal', '0984882']",438.7,Debit,46311.56,False,False
5,06/08,"['Cheque Withdrawal', '0984867']",760.8,Debit,45550.76,False,False
6,06/08,"['Cheque Withdrawal', '0984881']",90.0,Debit,45460.76,False,False
7,06/08,"['Cheque Withdrawal', '0984883']",686.91,Debit,44773.85,False,False
8,06/08,"['Cheque Withdrawal', '0984884']",791.22,Debit,43982.63,False,False
9,06/08,"['Cheque Withdrawal', '0984887']",3198.5,Debit,40784.13,False,False
10,06/08,"['Cheque Withdrawal', '0984888']",1120.0,Debit,39664.13,False,False
11,07/08,"['Cheque Withdrawal', '0984877']",538.96,Debit,39125.17,False,False
12,07/08,"['Cheque Withdrawal', '0984880']",786.45,Debit,38338.72,False,False
13,08/08,"['Cheque Deposit', '4018471358-00000', 'Trf. Wd. Loans']",,,60161.32,False,True
14,13/08,"['inward DR - GIRO', 'COLL 8933440102', 'SP SERVICES LTD', 'GIRO Collection 8933440102']",349.92,Debit,59811.4,False,False
15,14/08,"['Inward CR - GIRO', 'OTHR Other', 'CHINA JINGYE CONSTRU', '$GIG190808125617']",35538.68,Credit,95350.08,False,False
16,15/08,['Cheque Deposit'],428.0,Credit,95778.08,False,False
17,15/08,['Cheque Deposit'],3584.5,Credit,99362.58,False,False
18,15/08,"['Inward DR - GIRO', 'COLL 3261514', 'CPF', 'BIZ']",3560.0,Debit,95802.58,False,False
19,16/08,"['Cheque Withdrawal', '0984889']",53917.3,Debit,41885.28,False,False
20,17/08,['Cash 0984890'],5250.0,Debit,36635.28,False,False
21,19/08,['Cheque Deposit'],2321.9,Credit,38957.18,False,False
22,19/08,"['Inward DR - GIRO', 'COLL 3261514', 'CPF', 'BFWL']",1739.46,Debit,37217.72,False,False
23,19/08,"['Cheque Withdrawal', '0984891']",16718.29,Debit,20499.43,False,False
24,20/08,"['Cheque Withdrawal', '0984876']",1766.2,Debit,18733.23,False,False
25,20/08,"['Cheque Withdrawal', '0984878']",5045.05,Debit,13688.18,False,False
26,21/08,['Cheque Deposit'],1605.0,Credit,15293.18,False,False
27,21/08,['Cheque Deposit'],224.7,Credit,15517.88,False,False
28,21/08,['Cheque Deposit'],2889.0,Credit,18406.88,False,False
29,21/08,['Cheque Deposit'],16966.19,Credit,35373.07,False,False
30,21/08,['Cheque Deposit'],1219.8,Credit,36592.87,False,False
31,21/08,['Cheque Deposit'],1797.6,Credit,38390.47,False,False
32,21/08,"['Inward DR - GIRO', 'COLL H050018594', 'SINGAPURA FINANCE', 'REPAYMENT']",36230.47,Debit,36230.47,False,True
33,21/08,"['Inward DR - GIRO', 'COLL H050018415', 'SINGAPURA FINANCE', 'REPAYMENT']",,,33684.13,False,True
34,22/08,['Cheque Deposit'],47592.53,Credit,81276.66,False,False
35,23/08,"['Cheque Withdrawal', '0984892']",970.0,Debit,80306.66,False,False
36,23/08,"['Cheque Withdrawal', '0984893']",3076.25,Debit,77230.41,False,False
37,26/08,['Cheque Deposit'],2846.2,Credit,80076.61,False,False
38,26/08,['Cheque Deposit'],74.9,Credit,80151.51,False,False
39,26/08,['Cheque Deposit'],32100.0,Credit,112251.51,False,False
40,26/08,"['Inward DR - GIRO', 'COLL ND004704', 'URBAN REDEVELOPMENT', 'SP FEE XD6993P']",127.4,Debit,112124.11,False,False
41,26/08,"['Cheque Withdrawal', '0985001']",3200.0,Debit,108924.11,False,False
42,27/08,"['Cheque Withdrawal', '0985005']",9940.0,Debit,98984.11,False,False
43,28/08,"['Inward DR - GIRO', 'COLL 016720116928', 'JURONG-CLEMENTI TOWN', '016720116928']",151.41,Debit,98832.7,False,False
