,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,1076260.29,False,False
1,02/12,"['Misc Debit', '6018734696-00000', 'Trf. Wd. Loans']",5159.56,Debit,1071100.73,False,False
2,03/12,"['Misc DR-Debit Card', '30 NOV 5522 3659139', 'LHN PARKING ONLINE', 'SINGAPORE SG']",510.0,Debit,1070590.73,False,False
3,03/12,"['Cheque Deposit', '0073872']",3900.0,,,False,True
4,05/12,"['Inward Credit-FAST', 'IVPT Invoice Payment', 'MILLENIUM PARTNERS P', 'SG3P191205664204']",15000.0,,1132922.01,False,False
5,05/12,"['Misc DR-Debit Card', '02 DEC 5522 2447345', 'O0000000TS5DL4S FLYSCOOT.COM']",244.5,,,False,True
6,05/12,"['Cheque Withdrawal', '0073869']",128.4,,,False,False
7,05/12,"['Cheque Withdrawal', '0073871']",2413.92,,1130135.19,False,False
8,06/12,"['Cash 0073887', '0073883']",,,1119635.19,False,True
9,09/12,"['Cheque Withdrawal', '0073885']",200.0,,,False,True
10,09/12,"['Cheque Withdrawal', '0073886']",154.0,,1158703.49,False,False
11,10/12,"['Cheque Withdrawal', '0073866']",840.0,Debit,1157863.49,False,False
12,10/12,"['Cheque Withdrawal', '0073873']",310.42,,,False,True
13,10/12,"['Cheque Withdrawal', '0073874']",831.18,,1156721.89,False,False
14,10/12,"['Cheque Withdrawal', '0073875']",395.05,Debit,1156326.84,False,False
15,10/12,"['Cheque Withdrawal', '0073877']",285.0,,,False,True
16,10/12,"['Cheque Withdrawal', '0073882']",1525.49,,,False,False
17,11/12,['Cheque Deposit'],535.0,,1155051.35,False,False
18,11/12,"['Cheque Withdrawal', '0073878']",882.75,Debit,1154168.6,False,False
19,11/12,"['Cheque Withdrawal', '0073884']",5589.34,,,False,True
20,12/12,"['Misc DR-Debit Card', '09 DEC 5522 8222313', '00000000TS5DL4S FLYSCOOT.COM']",46.0,,,False,False
21,12/12,['Cheque Deposit'],6480.72,,1155013.98,False,False
22,12/12,['Cheque Deposit'],10963.22,,,False,True
23,12/12,['Cheque Deposit'],1926.0,,1167903.2,False,False
24,12/12,"['SERV CHARGE', '10R912123731C001', 'NONE', 'QITELE GROUP CO,LTD']",58.37,Debit,1167844.83,False,False
25,12/12,"['FUNDS TRF - TT', '10R912123731C01', 'NONE', 'QITELE GROUP CO,LTD']",30699.97,Debit,1137144.86,False,False
26,12/12,"['Cheque Withdrawal', '0073876']",7612.67,,,False,True
27,12/12,"['Cheque Withdrawal', '0073880']",166.0,,,False,False
28,16/12,"['Inward DR - GIRO', 'COLL 199901543H', 'CPF', 'BIZ']",212.0,,,False,False
29,16/12,['Cheque Deposit'],37450.0,,1161604.19,False,False
30,17/12,"['Inward DR - GIRO', 'COLL 199901543H', 'CPF', 'BFWL']",6047.81,Debit,1155556.38,False,False
31,17/12,"['Cheque Withdrawal', '0073881']",2782.0,Debit,1152774.38,False,False
32,18/12,"['Cheque Withdrawal', '0073888']",1260.0,,,False,True
33,19/12,['Cheque Deposit'],12952.65,,,False,False
34,19/12,"['Cheque Withdrawal', '0073890']",1425.8,,,False,False
35,26/12,['Cheque Deposit'],10855.26,,,False,False
36,30/12,"['Inward DR - GIRO', 'COLL 1950001660', 'JTC CORPORATION', 'SGGC191227180355']",,,,False,False
37,30/12,"['Misc Debit', '6018734696-00000', 'Trf. Wd. Loans']",,,,False,False
38,,['Total Withdrawals'],,,98836.61,False,False
39,,['Total Deposits'],,,187212.33,False,False
40,,['Total'],,,1165788.01,False,False
41,,['BALANCE B/F'],,,,False,False
42,02/01,"['Inward DR - GIRO', 'COLL OCASF1093C', 'ETHOZ CAPITAL LTD']",1152.0,,1164636.01,False,False
43,02/01,"['Misc CR-Debit Card', '30 DEC 5522', 'UOB Cash Rebate']",2.4,Credit,1164638.41,False,False
44,03/01,['Cheque Deposit'],2140.0,,,False,True
45,03/01,"['Cheque Withdrawal', '0073891']",208.78,,1166569.63,False,False
46,09/01,"['SERV CHARGE', '10R001092034C01', 'NONE', 'MIROAD RUBBER INDUSTRIES SDN BHD']",45.48,Debit,1166524.15,False,False
47,09/01,"['FUNDS TRF - TT', '10R001092034C01', 'NONE', 'MIROAD RUBBER INDUSTRIES SDN BHD']",28385.76,Debit,1138138.39,False,False
48,09/01,['Cash 0073911'],25000.0,,,False,True
49,09/01,['Cheque Deposit'],1016.5,,1114154.89,False,False
50,09/01,['Cheque Deposit'],1123.5,Credit,1115278.39,False,False
51,09/01,"['Cheque Withdrawal', '0073905']",3900.0,,,False,True
52,09/01,"['Cheque Withdrawal', '0073910']",4500.0,,,False,False
53,10/01,"['Cheque Withdrawal', '0073896']",418.38,,1106460.01,False,False
54,10/01,"['Cheque Withdrawal', '0073902']",143.0,Debit,1106317.01,False,False
55,10/01,"['Cheque Withdrawal', '0073908']",24087.0,Debit,1082230.01,False,False
56,13/01,['Cash 0073912'],3000.0,Debit,1079230.01,False,False
57,13/01,['Cash 0073915'],34000.0,Debit,1045230.01,False,False
58,13/01,"['Misc DR-Debit Card', '10 JAN 5522 3105555', 'AIR INDIA CHARTERS LTD MUMBAI', 'SG']",504.6,Debit,1044725.41,False,False
59,13/01,['Cheque Deposit'],5309.88,Credit,1050035.29,False,False
60,13/01,"['Cheque Withdrawal', '0073893']",291.79,Debit,1049743.5,False,False
61,13/01,"['Cheque Withdrawal', '0073898']",1028.0,Debit,1048715.5,False,False
62,13/01,"['Cheque Withdrawal', '0073907']",50.63,,,False,True
63,14/01,"['Inward DR - GIRO', 'COLL 199901543H', 'CPF', 'BIZ']",,,1041083.35,False,False
64,14/01,"['Cheque Withdrawal', '0073897']",2264.44,,,False,True
65,14/01,"['Cheque Withdrawal', '0073899']",3805.2,,1035013.71,False,False
66,14/01,"['Cheque Withdrawal', '0073903']",1629.59,Debit,1033384.12,False,False
67,14/01,"['Cheque Withdrawal', '0073906']",200.0,,,False,True
68,14/01,"['Cheque Withdrawal', '0073909']",600.0,,1032584.12,False,False
69,15/01,"['Cheque Deposit', '0073894']",52052.14,Credit,1084636.26,False,False
70,15/01,"['Cheque Withdrawal', '0073914']",,,,False,True
71,16/01,"['Cheque Deposit', '0073900']",60.0,,,False,False
72,16/01,"['Cheque Withdrawal', '0073901']",393.0,,,False,False
73,16/01,"['Cheque Withdrawal', '0073913']",350.0,,,False,False
74,17/01,"['Inward DR - GIRO', 'COLL 199901543H', 'CPF', 'BFWL']",,,1108538.28,False,False
75,17/01,"['Cheque Deposit', 'OTHR Other', 'MILLENIUM PARTNERS P', 'SM3P200120559007']",15000.0,,,False,True
76,20/01,"['Cheque Withdrawal', '0073917']",200.63,,,False,False
77,21/01,['Cheque Deposit'],3598.51,,1174818.24,False,False
78,21/01,['Cheque Deposit'],6760.58,,,False,True
79,21/01,['Cheque Deposit'],7242.03,,1188820.85,False,False
80,21/01,"['Cheque Withdrawal', '0073916']",348.0,,,False,True
