,transactionDate,transactionDescriptions,transactionAmount,transactionType,transactionBalance,inDebt,transactionError
0,,['BALANCE B/F'],,,47821.05,False,False
1,01/10,"['Inward Credit-FAST', 'BEXP BizExpenses', 'TROPIC PLANNERS & LA', 'OCBC(1) TO UOB']",80000.0,Credit,127821.05,False,False
2,02/10,"['Bulk - GIRO', 'GEB1909005 7433401', 'GEN SEPT 19', 'PAYROLL']",20201.6,Debit,107619.45,False,False
3,02/10,"['Bulk - GIRO', 'GEB19100057571510', 'GDN END SEPT 19', 'PAYROLL']",33845.07,Debit,73774.38,False,False
4,02/10,"['SVC Chg', 'GEB1909005 7433401', 'GEN SEPT 19', 'PAYROLL']",2.0,Debit,73772.38,False,False
5,02/10,"['SVC Chg', 'GEB19100057571510', 'GDN END SEPT 19', 'PAYROLL']",8.2,Debit,73764.18,False,False
6,05/10,"['Misc Credit', 'PMRIBGMPROR/0919', 'PMRSG30092019007828', 'BG Bulk Srvc Reb']",51.2,Credit,73815.38,False,False
7,05/10,"['Bulk - GIRO', 'GEB19090057455156', 'TP-W (SUP) SEPT', 'PAYROLL']",16233.9,Debit,57581.48,False,False
8,05/10,"['Bulk - GIRO', 'GEB19100057543653', 'TROPIC FW 1 SEPT', 'PAYROLL']",37765.0,Debit,19816.48,False,False
9,05/10,"['SVC Chg', 'GEB19090057455156', 'TP-W (SUP) SEPT', 'PAYROLL']",2.4,Debit,19814.08,False,False
10,05/10,"['svc Chg', 'GEB19100057543653', 'TROPIC FW 1 SEPT', 'PAYROLL']",15.2,Debit,19798.88,False,False
11,09/10,"['Bulk - GIRO', 'GEB19100057997902', 'GEN OT SEPT 19', 'PAYROLL']",811.68,Debit,18987.2,False,False
12,09/10,"['SVC Chg', 'GEB19100057997902', 'GEN OT SEPT 19', 'PAYROLL']",0.4,Debit,18986.8,False,False
13,11/10,"['Inward Credit-FAST', 'OTHR Other', 'TROPIC PLANNERS & LA', 'OCBC(1) TO UOB']",20000.0,Credit,38986.8,False,False
14,,['Cheque Deposit'],18725.0,Credit,57711.8,False,False
15,11/10,['Cheque Deposit'],5136.0,Credit,62847.8,False,False
16,11/10,['Cheque Deposit'],7169.0,Credit,70016.8,False,False
17,12/10,"['Bulk - GIRO', 'GEB19100058137812', 'TROPIC FW OT', 'PAYROLL']",23329.14,Debit,46687.66,False,False
18,12/10,"['SVC Chg', 'GEB19100058137812', 'TROPIC FW OT', 'PAYROLL']",15.2,Debit,46672.46,False,False
19,16/10,"['Bulk - GIRO', 'GEB19100058463233', 'GDN MID OCT 19', 'PAYROLL']",22000.0,Debit,24672.46,False,False
20,16/10,"['SVC Chg', 'GEB19100058463233', 'GDN MID OCT 19', 'PAYROLL']",8.8,Debit,24663.66,False,False
21,29/10,"['Misc Debit', '6018773500-00000', 'Trf. Wd. Loans']",6160.05,Debit,18503.61,False,False
22,30/10,"['Misc Debit', '6018777263-00000', 'Trt. Wd. Loans']",1857.19,Debit,16646.42,False,False
23,30/10,"['Misc Debit', '6018777 158-00000', 'Trf. Wd. Loans', 'NN']",384.56,Debit,16261.86,False,False
